model_name,method,wall_clock_s,peak_cpu_mb,peak_gpu_mb,hardware,repeat_idx
vgg11,quant8,0.433793,0.033,0.000,CPU,0
vgg11,quant8,0.416903,0.030,0.000,CPU,1
vgg11,quant8,0.426384,0.029,0.000,CPU,2
vgg11,quant8,0.419229,0.030,0.000,CPU,3
vgg11,quant8,0.414470,0.029,0.000,CPU,4
vgg11,prune,5.932541,0.015,0.000,CPU,0
vgg11,prune,5.660292,0.013,0.000,CPU,1
vgg11,prune,6.421224,0.013,0.000,CPU,2
vgg11,prune,6.280721,0.012,0.000,CPU,3
vgg11,prune,6.338759,0.013,0.000,CPU,4
vgg16,quant8,0.428400,0.041,0.000,CPU,0
vgg16,quant8,0.448891,0.036,0.000,CPU,1
vgg16,quant8,0.454720,0.037,0.000,CPU,2
vgg16,quant8,0.445521,0.035,0.000,CPU,3
vgg16,quant8,0.437024,0.036,0.000,CPU,4
vgg16,prune,6.147805,0.015,0.000,CPU,0
vgg16,prune,6.222542,0.014,0.000,CPU,1
vgg16,prune,6.414691,0.014,0.000,CPU,2
vgg16,prune,6.358166,0.014,0.000,CPU,3
vgg16,prune,6.343714,0.014,0.000,CPU,4
resnet50,quant8,0.038329,0.294,0.000,CPU,0
resnet50,quant8,0.037897,0.248,0.000,CPU,1
resnet50,quant8,0.038263,0.244,0.000,CPU,2
resnet50,quant8,0.040121,0.245,0.000,CPU,3
resnet50,quant8,0.041008,0.244,0.000,CPU,4
resnet50,prune,0.811100,0.040,0.000,CPU,0
resnet50,prune,0.848612,0.040,0.000,CPU,1
resnet50,prune,0.811681,0.039,0.000,CPU,2
resnet50,prune,0.830753,0.039,0.000,CPU,3
resnet50,prune,0.835003,0.039,0.000,CPU,4
resnet101,quant8,0.074296,0.561,0.000,CPU,0
resnet101,quant8,0.076802,0.471,0.000,CPU,1
resnet101,quant8,0.076958,0.470,0.000,CPU,2
resnet101,quant8,0.076924,0.471,0.000,CPU,3
resnet101,quant8,0.076512,0.468,0.000,CPU,4
resnet101,prune,1.543319,0.061,0.000,CPU,0
resnet101,prune,1.510563,0.060,0.000,CPU,1
resnet101,prune,1.531764,0.061,0.000,CPU,2
resnet101,prune,1.525211,0.062,0.000,CPU,3
resnet101,prune,1.523433,0.059,0.000,CPU,4
densenet121,quant8,0.053652,0.703,0.000,CPU,0
densenet121,quant8,0.052639,0.600,0.000,CPU,1
densenet121,quant8,0.052560,0.598,0.000,CPU,2
densenet121,quant8,0.053262,0.597,0.000,CPU,3
densenet121,quant8,0.053480,0.599,0.000,CPU,4
densenet121,prune,0.253070,0.085,0.000,CPU,0
densenet121,prune,0.257707,0.087,0.000,CPU,1
densenet121,prune,0.267196,0.087,0.000,CPU,2
densenet121,prune,0.256978,0.087,0.000,CPU,3
densenet121,prune,0.259657,0.090,0.000,CPU,4
efficientnet_b0,quant8,0.034255,0.435,0.000,CPU,0
efficientnet_b0,quant8,0.033737,0.386,0.000,CPU,1
efficientnet_b0,quant8,0.033757,0.383,0.000,CPU,2
efficientnet_b0,quant8,0.033635,0.384,0.000,CPU,3
efficientnet_b0,quant8,0.033630,0.384,0.000,CPU,4
efficientnet_b0,prune,0.167513,0.081,0.000,CPU,0
efficientnet_b0,prune,0.173152,0.082,0.000,CPU,1
efficientnet_b0,prune,0.174346,0.080,0.000,CPU,2
efficientnet_b0,prune,0.167306,0.081,0.000,CPU,3
efficientnet_b0,prune,0.174222,0.080,0.000,CPU,4
efficientnet_b4,quant8,0.071551,0.876,0.000,CPU,0
efficientnet_b4,quant8,0.070717,0.775,0.000,CPU,1
efficientnet_b4,quant8,0.070659,0.776,0.000,CPU,2
efficientnet_b4,quant8,0.070607,0.774,0.000,CPU,3
efficientnet_b4,quant8,0.070605,0.773,0.000,CPU,4
efficientnet_b4,prune,0.614588,0.099,0.000,CPU,0
efficientnet_b4,prune,0.613406,0.101,0.000,CPU,1
efficientnet_b4,prune,0.615831,0.105,0.000,CPU,2
efficientnet_b4,prune,0.613206,0.104,0.000,CPU,3
efficientnet_b4,prune,0.613711,0.105,0.000,CPU,4
mobilenet_v2,quant8,0.027025,0.310,0.000,CPU,0
mobilenet_v2,quant8,0.026431,0.263,0.000,CPU,1
mobilenet_v2,quant8,0.026440,0.260,0.000,CPU,2
mobilenet_v2,quant8,0.026409,0.261,0.000,CPU,3
mobilenet_v2,quant8,0.026528,0.260,0.000,CPU,4
mobilenet_v2,prune,0.113559,0.042,0.000,CPU,0
mobilenet_v2,prune,0.120137,0.043,0.000,CPU,1
mobilenet_v2,prune,0.116651,0.040,0.000,CPU,2
mobilenet_v2,prune,0.109114,0.041,0.000,CPU,3
mobilenet_v2,prune,0.119068,0.040,0.000,CPU,4
mobilenet_v3_small,quant8,0.022223,0.266,0.000,CPU,0
mobilenet_v3_small,quant8,0.022208,0.230,0.000,CPU,1
mobilenet_v3_small,quant8,0.021835,0.229,0.000,CPU,2
mobilenet_v3_small,quant8,0.021755,0.229,0.000,CPU,3
mobilenet_v3_small,quant8,0.021830,0.229,0.000,CPU,4
mobilenet_v3_small,prune,0.086839,0.044,0.000,CPU,0
mobilenet_v3_small,prune,0.085800,0.041,0.000,CPU,1
mobilenet_v3_small,prune,0.088873,0.040,0.000,CPU,2
mobilenet_v3_small,prune,0.088014,0.042,0.000,CPU,3
mobilenet_v3_small,prune,0.085225,0.042,0.000,CPU,4
llama-3.2-1b,quant8,11.202752,0.172,0.000,CPU,0
llama-3.2-1b,quant8,5.112466,0.159,0.000,CPU,1
llama-3.2-1b,quant8,5.319442,0.160,0.000,CPU,2
llama-3.2-1b,quant8,5.329168,0.160,0.000,CPU,3
llama-3.2-1b,quant8,5.402938,0.161,0.000,CPU,4
llama-3.2-1b,prune,42.488855,0.067,0.000,CPU,0
llama-3.2-1b,prune,41.410953,0.063,0.000,CPU,1
llama-3.2-1b,prune,41.460346,0.065,0.000,CPU,2
llama-3.2-1b,prune,41.089504,0.064,0.000,CPU,3
llama-3.2-1b,prune,40.271635,0.068,0.000,CPU,4
qwen2.5-1.5b,quant8,12.986632,0.415,0.000,CPU,0
qwen2.5-1.5b,quant8,5.723995,0.386,0.000,CPU,1
qwen2.5-1.5b,quant8,5.862434,0.385,0.000,CPU,2
qwen2.5-1.5b,quant8,5.800893,0.382,0.000,CPU,3
qwen2.5-1.5b,quant8,5.620340,0.385,0.000,CPU,4
qwen2.5-1.5b,prune,49.306071,0.117,0.000,CPU,0
qwen2.5-1.5b,prune,48.964659,0.117,0.000,CPU,1
qwen2.5-1.5b,prune,49.341390,0.118,0.000,CPU,2
qwen2.5-1.5b,prune,45.409557,0.121,0.000,CPU,3
qwen2.5-1.5b,prune,50.312234,0.120,0.000,CPU,4
vgg11,noise,0.740451,0.001,0.000,CPU,0
vgg11,noise,0.740398,0.001,0.000,CPU,1
vgg11,noise,0.753347,0.001,0.000,CPU,2
vgg11,noise,0.733462,0.001,0.000,CPU,3
vgg11,noise,0.731872,0.001,0.000,CPU,4
vgg16,noise,0.752323,0.001,0.000,CPU,0
vgg16,noise,0.755956,0.001,0.000,CPU,1
vgg16,noise,0.760876,0.001,0.000,CPU,2
vgg16,noise,0.747368,0.001,0.000,CPU,3
vgg16,noise,0.754690,0.001,0.000,CPU,4
resnet50,noise,0.111559,0.001,0.000,CPU,0
resnet50,noise,0.107979,0.001,0.000,CPU,1
resnet50,noise,0.107731,0.001,0.000,CPU,2
resnet50,noise,0.107966,0.001,0.000,CPU,3
resnet50,noise,0.108258,0.001,0.000,CPU,4
resnet101,noise,0.193323,0.001,0.000,CPU,0
resnet101,noise,0.190583,0.001,0.000,CPU,1
resnet101,noise,0.191038,0.001,0.000,CPU,2
resnet101,noise,0.190474,0.001,0.000,CPU,3
resnet101,noise,0.192962,0.001,0.000,CPU,4
densenet121,noise,0.040510,0.001,0.000,CPU,0
densenet121,noise,0.040861,0.001,0.000,CPU,1
densenet121,noise,0.040591,0.001,0.000,CPU,2
densenet121,noise,0.040932,0.001,0.000,CPU,3
densenet121,noise,0.040661,0.001,0.000,CPU,4
efficientnet_b0,noise,0.025853,0.001,0.000,CPU,0
efficientnet_b0,noise,0.025646,0.001,0.000,CPU,1
efficientnet_b0,noise,0.025981,0.001,0.000,CPU,2
efficientnet_b0,noise,0.025865,0.001,0.000,CPU,3
efficientnet_b0,noise,0.025699,0.001,0.000,CPU,4
efficientnet_b4,noise,0.088301,0.001,0.000,CPU,0
efficientnet_b4,noise,0.087841,0.001,0.000,CPU,1
efficientnet_b4,noise,0.087499,0.001,0.000,CPU,2
efficientnet_b4,noise,0.087132,0.001,0.000,CPU,3
efficientnet_b4,noise,0.088277,0.001,0.000,CPU,4
mobilenet_v2,noise,0.017820,0.001,0.000,CPU,0
mobilenet_v2,noise,0.017702,0.001,0.000,CPU,1
mobilenet_v2,noise,0.017678,0.001,0.000,CPU,2
mobilenet_v2,noise,0.018095,0.001,0.000,CPU,3
mobilenet_v2,noise,0.017661,0.001,0.000,CPU,4
mobilenet_v3_small,noise,0.013252,0.001,0.000,CPU,0
mobilenet_v3_small,noise,0.013092,0.001,0.000,CPU,1
mobilenet_v3_small,noise,0.013015,0.001,0.000,CPU,2
mobilenet_v3_small,noise,0.012992,0.001,0.000,CPU,3
mobilenet_v3_small,noise,0.013058,0.001,0.000,CPU,4
llama-3.2-1b,noise,8.467515,0.001,0.000,CPU,0
llama-3.2-1b,noise,8.463267,0.001,0.000,CPU,1
llama-3.2-1b,noise,8.469931,0.001,0.000,CPU,2
llama-3.2-1b,noise,8.445620,0.001,0.000,CPU,3
llama-3.2-1b,noise,8.436607,0.001,0.000,CPU,4
qwen2.5-1.5b,noise,9.887128,0.001,0.000,CPU,0
qwen2.5-1.5b,noise,9.836074,0.001,0.000,CPU,1
qwen2.5-1.5b,noise,9.845726,0.001,0.000,CPU,2
qwen2.5-1.5b,noise,9.827315,0.001,0.000,CPU,3
qwen2.5-1.5b,noise,9.957796,0.001,0.000,CPU,4
