site_idx,site_kind,site_key,n_units,metric_name,ber,repeat_idx,model_name,method
-1,analytical,all,-1,l1_norm,0.0,-1,densenet121,canonical_attack_analytical
-1,analytical,all,-1,l2_norm,0.0,-1,densenet121,canonical_attack_analytical
-1,analytical,all,-1,bias_value,0.0,-1,densenet121,canonical_attack_analytical
-1,analytical,all,-1,variance,0.0,-1,densenet121,canonical_attack_analytical
0,conv_bn_conv,features.denseblock1.denselayer1.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
1,conv_bn_conv,features.denseblock1.denselayer2.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
2,conv_bn_conv,features.denseblock1.denselayer3.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
3,conv_bn_conv,features.denseblock1.denselayer4.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
4,conv_bn_conv,features.denseblock1.denselayer5.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
5,conv_bn_conv,features.denseblock1.denselayer6.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
6,conv_bn_conv,features.denseblock2.denselayer1.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
7,conv_bn_conv,features.denseblock2.denselayer2.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
8,conv_bn_conv,features.denseblock2.denselayer3.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
9,conv_bn_conv,features.denseblock2.denselayer4.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
10,conv_bn_conv,features.denseblock2.denselayer5.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
11,conv_bn_conv,features.denseblock2.denselayer6.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
12,conv_bn_conv,features.denseblock2.denselayer7.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
13,conv_bn_conv,features.denseblock2.denselayer8.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
14,conv_bn_conv,features.denseblock2.denselayer9.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
15,conv_bn_conv,features.denseblock2.denselayer10.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
16,conv_bn_conv,features.denseblock2.denselayer11.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
17,conv_bn_conv,features.denseblock2.denselayer12.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
18,conv_bn_conv,features.denseblock3.denselayer1.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
19,conv_bn_conv,features.denseblock3.denselayer2.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
20,conv_bn_conv,features.denseblock3.denselayer3.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
21,conv_bn_conv,features.denseblock3.denselayer4.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
22,conv_bn_conv,features.denseblock3.denselayer5.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
23,conv_bn_conv,features.denseblock3.denselayer6.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
24,conv_bn_conv,features.denseblock3.denselayer7.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
25,conv_bn_conv,features.denseblock3.denselayer8.conv1,128,l1_norm,0.0,0,densenet121,canonical_attack
