site_idx,site_kind,site_key,n_units,metric_name,ber,repeat_idx,model_name,method
-1,analytical,all,-1,l1_norm,0.0010161953645551056,-1,qwen2.5-1.5b,canonical_attack_analytical
-1,analytical,all,-1,l2_norm,0.0010799566423311123,-1,qwen2.5-1.5b,canonical_attack_analytical
-1,analytical,all,-1,bias_value,0.0010161953645551056,-1,qwen2.5-1.5b,canonical_attack_analytical
-1,analytical,all,-1,variance,0.000490164822903051,-1,qwen2.5-1.5b,canonical_attack_analytical
0,llama_attn,model.layers.0.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
1,llama_mlp,model.layers.0.mlp.gate_proj,8960,l1_norm,0.0008928571428571428,0,qwen2.5-1.5b,canonical_attack
2,llama_attn,model.layers.1.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
3,llama_mlp,model.layers.1.mlp.gate_proj,8960,l1_norm,0.0011160714285714285,0,qwen2.5-1.5b,canonical_attack
4,llama_attn,model.layers.2.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
5,llama_mlp,model.layers.2.mlp.gate_proj,8960,l1_norm,0.0029017857142857144,0,qwen2.5-1.5b,canonical_attack
6,llama_attn,model.layers.3.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
7,llama_mlp,model.layers.3.mlp.gate_proj,8960,l1_norm,0.0008928571428571428,0,qwen2.5-1.5b,canonical_attack
8,llama_attn,model.layers.4.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
9,llama_mlp,model.layers.4.mlp.gate_proj,8960,l1_norm,0.0006696428571428571,0,qwen2.5-1.5b,canonical_attack
10,llama_attn,model.layers.5.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
11,llama_mlp,model.layers.5.mlp.gate_proj,8960,l1_norm,0.0002232142857142857,0,qwen2.5-1.5b,canonical_attack
12,llama_attn,model.layers.6.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
13,llama_mlp,model.layers.6.mlp.gate_proj,8960,l1_norm,0.0015625,0,qwen2.5-1.5b,canonical_attack
14,llama_attn,model.layers.7.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
15,llama_mlp,model.layers.7.mlp.gate_proj,8960,l1_norm,0.0015625,0,qwen2.5-1.5b,canonical_attack
16,llama_attn,model.layers.8.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
17,llama_mlp,model.layers.8.mlp.gate_proj,8960,l1_norm,0.0011160714285714285,0,qwen2.5-1.5b,canonical_attack
18,llama_attn,model.layers.9.self_attn.q_proj,2,l1_norm,0.0,0,qwen2.5-1.5b,canonical_attack
