site_idx,site_kind,site_key,n_units,metric_name,ber,repeat_idx,model_name,method
-1,analytical,all,-1,l1_norm,0.0011503067484662577,-1,vgg11,canonical_attack_analytical
-1,analytical,all,-1,l2_norm,0.001437883435582822,-1,vgg11,canonical_attack_analytical
-1,analytical,all,-1,bias_value,0.0,-1,vgg11,canonical_attack_analytical
-1,analytical,all,-1,variance,0.0003834355828220859,-1,vgg11,canonical_attack_analytical
0,vgg_pair,features.0,64,l1_norm,0.0,0,vgg11,canonical_attack
1,vgg_pair,features.3,128,l1_norm,0.0,0,vgg11,canonical_attack
2,vgg_pair,features.6,256,l1_norm,0.0,0,vgg11,canonical_attack
3,vgg_pair,features.8,256,l1_norm,0.0,0,vgg11,canonical_attack
4,vgg_pair,features.11,512,l1_norm,0.0,0,vgg11,canonical_attack
5,vgg_pair,features.13,512,l1_norm,0.00390625,0,vgg11,canonical_attack
6,vgg_pair,features.16,512,l1_norm,0.0,0,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,l1_norm,0.001953125,0,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,l1_norm,0.00146484375,0,vgg11,canonical_attack
-1,aggregate,all,-1,l1_norm,0.0015337423312883436,0,vgg11,canonical_attack
0,vgg_pair,features.0,64,l2_norm,0.0,0,vgg11,canonical_attack
1,vgg_pair,features.3,128,l2_norm,0.0,0,vgg11,canonical_attack
2,vgg_pair,features.6,256,l2_norm,0.0,0,vgg11,canonical_attack
3,vgg_pair,features.8,256,l2_norm,0.0,0,vgg11,canonical_attack
4,vgg_pair,features.11,512,l2_norm,0.0,0,vgg11,canonical_attack
5,vgg_pair,features.13,512,l2_norm,0.0,0,vgg11,canonical_attack
6,vgg_pair,features.16,512,l2_norm,0.0,0,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,l2_norm,0.00146484375,0,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,l2_norm,0.00146484375,0,vgg11,canonical_attack
-1,aggregate,all,-1,l2_norm,0.0011503067484662577,0,vgg11,canonical_attack
0,vgg_pair,features.0,64,bias_value,0.0,0,vgg11,canonical_attack
1,vgg_pair,features.3,128,bias_value,0.0,0,vgg11,canonical_attack
2,vgg_pair,features.6,256,bias_value,0.0,0,vgg11,canonical_attack
3,vgg_pair,features.8,256,bias_value,0.0,0,vgg11,canonical_attack
4,vgg_pair,features.11,512,bias_value,0.0,0,vgg11,canonical_attack
5,vgg_pair,features.13,512,bias_value,0.0,0,vgg11,canonical_attack
6,vgg_pair,features.16,512,bias_value,0.0,0,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,bias_value,0.0,0,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,bias_value,0.0,0,vgg11,canonical_attack
-1,aggregate,all,-1,bias_value,0.0,0,vgg11,canonical_attack
0,vgg_pair,features.0,64,variance,0.0,0,vgg11,canonical_attack
1,vgg_pair,features.3,128,variance,0.0,0,vgg11,canonical_attack
2,vgg_pair,features.6,256,variance,0.0,0,vgg11,canonical_attack
3,vgg_pair,features.8,256,variance,0.0,0,vgg11,canonical_attack
4,vgg_pair,features.11,512,variance,0.0,0,vgg11,canonical_attack
5,vgg_pair,features.13,512,variance,0.0,0,vgg11,canonical_attack
6,vgg_pair,features.16,512,variance,0.0,0,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,variance,0.0009765625,0,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,variance,0.00048828125,0,vgg11,canonical_attack
-1,aggregate,all,-1,variance,0.0005751533742331289,0,vgg11,canonical_attack
0,vgg_pair,features.0,64,l1_norm,0.0,1,vgg11,canonical_attack
1,vgg_pair,features.3,128,l1_norm,0.0,1,vgg11,canonical_attack
2,vgg_pair,features.6,256,l1_norm,0.0,1,vgg11,canonical_attack
3,vgg_pair,features.8,256,l1_norm,0.0,1,vgg11,canonical_attack
4,vgg_pair,features.11,512,l1_norm,0.0,1,vgg11,canonical_attack
5,vgg_pair,features.13,512,l1_norm,0.00390625,1,vgg11,canonical_attack
6,vgg_pair,features.16,512,l1_norm,0.0,1,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,l1_norm,0.0009765625,1,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,l1_norm,0.00146484375,1,vgg11,canonical_attack
-1,aggregate,all,-1,l1_norm,0.0011503067484662577,1,vgg11,canonical_attack
0,vgg_pair,features.0,64,l2_norm,0.0,1,vgg11,canonical_attack
1,vgg_pair,features.3,128,l2_norm,0.0,1,vgg11,canonical_attack
2,vgg_pair,features.6,256,l2_norm,0.0,1,vgg11,canonical_attack
3,vgg_pair,features.8,256,l2_norm,0.0,1,vgg11,canonical_attack
4,vgg_pair,features.11,512,l2_norm,0.0,1,vgg11,canonical_attack
5,vgg_pair,features.13,512,l2_norm,0.0,1,vgg11,canonical_attack
6,vgg_pair,features.16,512,l2_norm,0.0,1,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,l2_norm,0.001953125,1,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,l2_norm,0.00244140625,1,vgg11,canonical_attack
-1,aggregate,all,-1,l2_norm,0.0017254601226993865,1,vgg11,canonical_attack
0,vgg_pair,features.0,64,bias_value,0.0,1,vgg11,canonical_attack
1,vgg_pair,features.3,128,bias_value,0.0,1,vgg11,canonical_attack
2,vgg_pair,features.6,256,bias_value,0.0,1,vgg11,canonical_attack
3,vgg_pair,features.8,256,bias_value,0.0,1,vgg11,canonical_attack
4,vgg_pair,features.11,512,bias_value,0.0,1,vgg11,canonical_attack
5,vgg_pair,features.13,512,bias_value,0.0,1,vgg11,canonical_attack
6,vgg_pair,features.16,512,bias_value,0.0,1,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,bias_value,0.0,1,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,bias_value,0.0,1,vgg11,canonical_attack
-1,aggregate,all,-1,bias_value,0.0,1,vgg11,canonical_attack
0,vgg_pair,features.0,64,variance,0.0,1,vgg11,canonical_attack
1,vgg_pair,features.3,128,variance,0.0,1,vgg11,canonical_attack
2,vgg_pair,features.6,256,variance,0.0,1,vgg11,canonical_attack
3,vgg_pair,features.8,256,variance,0.0,1,vgg11,canonical_attack
4,vgg_pair,features.11,512,variance,0.0,1,vgg11,canonical_attack
5,vgg_pair,features.13,512,variance,0.0,1,vgg11,canonical_attack
6,vgg_pair,features.16,512,variance,0.0,1,vgg11,canonical_attack
7,vgg_pair,classifier.0,4096,variance,0.0009765625,1,vgg11,canonical_attack
8,vgg_pair,classifier.3,4096,variance,0.0,1,vgg11,canonical_attack
-1,aggregate,all,-1,variance,0.0003834355828220859,1,vgg11,canonical_attack
0,vgg_pair,features.0,64,l1_norm,0.0,2,vgg11,canonical_attack
