scheme,metric_name,analysis,value,repeat_idx,model_name
lsb_1bit,extraction,extraction_ber_clean,0.0,-1,densenet121
lsb_1bit,l1_norm,tie_analytical_ber,0.0,-1,densenet121
lsb_1bit,l2_norm,tie_analytical_ber,0.0,-1,densenet121
lsb_1bit,bias_value,tie_analytical_ber,0.0,-1,densenet121
lsb_1bit,variance,tie_analytical_ber,0.0,-1,densenet121
lsb_1bit,extraction,extraction_ber_after_neuperm,0.3821247096435549,0,densenet121
lsb_1bit,l1_norm,canonical_attack_ber,0.0,0,densenet121
lsb_1bit,l2_norm,canonical_attack_ber,0.0,0,densenet121
lsb_1bit,bias_value,canonical_attack_ber,0.0,0,densenet121
lsb_1bit,variance,canonical_attack_ber,0.0,0,densenet121
lsb_1bit,extraction,extraction_ber_after_neuperm,0.3813683689335224,1,densenet121
lsb_1bit,l1_norm,canonical_attack_ber,0.0,1,densenet121
lsb_1bit,l2_norm,canonical_attack_ber,0.0,1,densenet121
lsb_1bit,bias_value,canonical_attack_ber,0.0,1,densenet121
lsb_1bit,variance,canonical_attack_ber,0.0,1,densenet121
lsb_1bit,extraction,extraction_ber_after_neuperm,0.3822889266163465,2,densenet121
lsb_1bit,l1_norm,canonical_attack_ber,0.0,2,densenet121
lsb_1bit,l2_norm,canonical_attack_ber,0.0,2,densenet121
lsb_1bit,bias_value,canonical_attack_ber,0.0,2,densenet121
lsb_1bit,variance,canonical_attack_ber,0.0,2,densenet121
lsb_2bit,extraction,extraction_ber_clean,0.0,-1,densenet121
lsb_2bit,l1_norm,tie_analytical_ber,0.0,-1,densenet121
lsb_2bit,l2_norm,tie_analytical_ber,0.0,-1,densenet121
lsb_2bit,bias_value,tie_analytical_ber,0.0,-1,densenet121
lsb_2bit,variance,tie_analytical_ber,0.0,-1,densenet121
lsb_2bit,extraction,extraction_ber_after_neuperm,0.38205103526150186,0,densenet121
lsb_2bit,l1_norm,canonical_attack_ber,0.0,0,densenet121
lsb_2bit,l2_norm,canonical_attack_ber,0.0,0,densenet121
lsb_2bit,bias_value,canonical_attack_ber,0.0,0,densenet121
lsb_2bit,variance,canonical_attack_ber,0.0,0,densenet121
lsb_2bit,extraction,extraction_ber_after_neuperm,0.38130474105811296,1,densenet121
lsb_2bit,l1_norm,canonical_attack_ber,0.0,1,densenet121
lsb_2bit,l2_norm,canonical_attack_ber,0.0,1,densenet121
lsb_2bit,bias_value,canonical_attack_ber,0.0,1,densenet121
lsb_2bit,variance,canonical_attack_ber,0.0,1,densenet121
lsb_2bit,extraction,extraction_ber_after_neuperm,0.38163701996302885,2,densenet121
lsb_2bit,l1_norm,canonical_attack_ber,0.0,2,densenet121
lsb_2bit,l2_norm,canonical_attack_ber,0.0,2,densenet121
lsb_2bit,bias_value,canonical_attack_ber,0.0,2,densenet121
lsb_2bit,variance,canonical_attack_ber,0.0,2,densenet121
lsb_4bit,extraction,extraction_ber_clean,0.0,-1,densenet121
lsb_4bit,l1_norm,tie_analytical_ber,0.0,-1,densenet121
lsb_4bit,l2_norm,tie_analytical_ber,0.0,-1,densenet121
lsb_4bit,bias_value,tie_analytical_ber,0.0,-1,densenet121
lsb_4bit,variance,tie_analytical_ber,0.0,-1,densenet121
lsb_4bit,extraction,extraction_ber_after_neuperm,0.3817561516868705,0,densenet121
lsb_4bit,l1_norm,canonical_attack_ber,0.0,0,densenet121
lsb_4bit,l2_norm,canonical_attack_ber,0.0,0,densenet121
lsb_4bit,bias_value,canonical_attack_ber,0.0,0,densenet121
lsb_4bit,variance,canonical_attack_ber,0.0,0,densenet121
lsb_4bit,extraction,extraction_ber_after_neuperm,0.3816999656682341,1,densenet121
lsb_4bit,l1_norm,canonical_attack_ber,0.0,1,densenet121
lsb_4bit,l2_norm,canonical_attack_ber,0.0,1,densenet121
lsb_4bit,bias_value,canonical_attack_ber,0.0,1,densenet121
lsb_4bit,variance,canonical_attack_ber,0.0,1,densenet121
lsb_4bit,extraction,extraction_ber_after_neuperm,0.3819193143966192,2,densenet121
lsb_4bit,l1_norm,canonical_attack_ber,0.0,2,densenet121
lsb_4bit,l2_norm,canonical_attack_ber,0.0,2,densenet121
lsb_4bit,bias_value,canonical_attack_ber,0.0,2,densenet121
lsb_4bit,variance,canonical_attack_ber,0.0,2,densenet121
lsb_8bit,extraction,extraction_ber_clean,0.0,-1,densenet121
lsb_8bit,l1_norm,tie_analytical_ber,0.0,-1,densenet121
lsb_8bit,l2_norm,tie_analytical_ber,0.0,-1,densenet121
lsb_8bit,bias_value,tie_analytical_ber,0.0,-1,densenet121
lsb_8bit,variance,tie_analytical_ber,0.0,-1,densenet121
lsb_8bit,extraction,extraction_ber_after_neuperm,0.3817655160233099,0,densenet121
lsb_8bit,l1_norm,canonical_attack_ber,0.0,0,densenet121
lsb_8bit,l2_norm,canonical_attack_ber,0.0,0,densenet121
lsb_8bit,bias_value,canonical_attack_ber,0.0,0,densenet121
lsb_8bit,variance,canonical_attack_ber,0.0,0,densenet121
lsb_8bit,extraction,extraction_ber_after_neuperm,0.38170284938773363,1,densenet121
lsb_8bit,l1_norm,canonical_attack_ber,0.0,1,densenet121
lsb_8bit,l2_norm,canonical_attack_ber,0.0,1,densenet121
lsb_8bit,bias_value,canonical_attack_ber,0.0,1,densenet121
lsb_8bit,variance,canonical_attack_ber,0.0,1,densenet121
lsb_8bit,extraction,extraction_ber_after_neuperm,0.3815344773782438,2,densenet121
lsb_8bit,l1_norm,canonical_attack_ber,0.0,2,densenet121
lsb_8bit,l2_norm,canonical_attack_ber,0.0,2,densenet121
lsb_8bit,bias_value,canonical_attack_ber,0.0,2,densenet121
lsb_8bit,variance,canonical_attack_ber,0.0,2,densenet121
