site_idx,site_key,n_neurons,birthday_bound_fp32,birthday_bound_fp16,recovery_prob,n_tie_groups,model_name
0,model.layers.0.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
1,model.layers.0.mlp.gate_proj,8192,0.13532426738169506,0.0,0.03125,5,llama-3.2-1b
2,model.layers.1.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
3,model.layers.1.mlp.gate_proj,8192,0.13532426738169506,0.0,0.0078125,7,llama-3.2-1b
4,model.layers.2.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
5,model.layers.2.mlp.gate_proj,8192,0.13532426738169506,0.0,0.00390625,8,llama-3.2-1b
6,model.layers.3.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
7,model.layers.3.mlp.gate_proj,8192,0.13532426738169506,0.0,0.5,1,llama-3.2-1b
8,model.layers.4.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
9,model.layers.4.mlp.gate_proj,8192,0.13532426738169506,0.0,0.25,2,llama-3.2-1b
10,model.layers.5.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
11,model.layers.5.mlp.gate_proj,8192,0.13532426738169506,0.0,0.25,2,llama-3.2-1b
12,model.layers.6.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
13,model.layers.6.mlp.gate_proj,8192,0.13532426738169506,0.0,1.0,0,llama-3.2-1b
14,model.layers.7.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
15,model.layers.7.mlp.gate_proj,8192,0.13532426738169506,0.0,0.0078125,7,llama-3.2-1b
16,model.layers.8.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
17,model.layers.8.mlp.gate_proj,8192,0.13532426738169506,0.0,0.125,3,llama-3.2-1b
18,model.layers.9.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
19,model.layers.9.mlp.gate_proj,8192,0.13532426738169506,0.0,0.25,2,llama-3.2-1b
20,model.layers.10.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
21,model.layers.10.mlp.gate_proj,8192,0.13532426738169506,0.0,0.0625,4,llama-3.2-1b
22,model.layers.11.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
23,model.layers.11.mlp.gate_proj,8192,0.13532426738169506,0.0,0.125,3,llama-3.2-1b
24,model.layers.12.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
25,model.layers.12.mlp.gate_proj,8192,0.13532426738169506,0.0,0.0009765625,10,llama-3.2-1b
26,model.layers.13.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
27,model.layers.13.mlp.gate_proj,8192,0.13532426738169506,0.0,0.0001220703125,13,llama-3.2-1b
28,model.layers.14.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
29,model.layers.14.mlp.gate_proj,8192,0.13532426738169506,0.0,0.000244140625,12,llama-3.2-1b
30,model.layers.15.self_attn.q_proj,8,0.9999983310710903,0.9864046679928488,1.0,0,llama-3.2-1b
31,model.layers.15.mlp.gate_proj,8192,0.13532426738169506,0.0,0.0078125,7,llama-3.2-1b
