site_idx,site_key,n_neurons,birthday_bound_fp32,birthday_bound_fp16,recovery_prob,n_tie_groups,model_name
0,model.layers.0.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
1,model.layers.0.mlp.gate_proj,8960,0.09137923052466357,0.0,0.00390625,8,qwen2.5-1.5b
2,model.layers.1.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
3,model.layers.1.mlp.gate_proj,8960,0.09137923052466357,0.0,0.0009765625,10,qwen2.5-1.5b
4,model.layers.2.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
5,model.layers.2.mlp.gate_proj,8960,0.09137923052466357,0.0,1.1920928955078125e-07,23,qwen2.5-1.5b
6,model.layers.3.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
7,model.layers.3.mlp.gate_proj,8960,0.09137923052466357,0.0,0.001953125,9,qwen2.5-1.5b
8,model.layers.4.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
9,model.layers.4.mlp.gate_proj,8960,0.09137923052466357,0.0,0.0078125,7,qwen2.5-1.5b
10,model.layers.5.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
11,model.layers.5.mlp.gate_proj,8960,0.09137923052466357,0.0,0.015625,6,qwen2.5-1.5b
12,model.layers.6.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
13,model.layers.6.mlp.gate_proj,8960,0.09137923052466357,0.0,0.000244140625,12,qwen2.5-1.5b
14,model.layers.7.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
15,model.layers.7.mlp.gate_proj,8960,0.09137923052466357,0.0,3.814697265625e-06,18,qwen2.5-1.5b
16,model.layers.8.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
17,model.layers.8.mlp.gate_proj,8960,0.09137923052466357,0.0,0.001953125,9,qwen2.5-1.5b
18,model.layers.9.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
19,model.layers.9.mlp.gate_proj,8960,0.09137923052466357,0.0,0.0001220703125,13,qwen2.5-1.5b
20,model.layers.10.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
21,model.layers.10.mlp.gate_proj,8960,0.09137923052466357,0.0,0.001953125,9,qwen2.5-1.5b
22,model.layers.11.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
23,model.layers.11.mlp.gate_proj,8960,0.09137923052466357,0.0,0.015625,6,qwen2.5-1.5b
24,model.layers.12.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
25,model.layers.12.mlp.gate_proj,8960,0.09137923052466357,0.0,0.000244140625,12,qwen2.5-1.5b
26,model.layers.13.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
27,model.layers.13.mlp.gate_proj,8960,0.09137923052466357,0.0,0.0078125,7,qwen2.5-1.5b
28,model.layers.14.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
29,model.layers.14.mlp.gate_proj,8960,0.09137923052466357,0.0,0.125,3,qwen2.5-1.5b
30,model.layers.15.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
31,model.layers.15.mlp.gate_proj,8960,0.09137923052466357,0.0,0.0078125,7,qwen2.5-1.5b
32,model.layers.16.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
33,model.layers.16.mlp.gate_proj,8960,0.09137923052466357,0.0,0.0009765625,10,qwen2.5-1.5b
34,model.layers.17.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
35,model.layers.17.mlp.gate_proj,8960,0.09137923052466357,0.0,0.125,3,qwen2.5-1.5b
36,model.layers.18.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
37,model.layers.18.mlp.gate_proj,8960,0.09137923052466357,0.0,0.015625,6,qwen2.5-1.5b
38,model.layers.19.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
39,model.layers.19.mlp.gate_proj,8960,0.09137923052466357,0.0,0.0078125,7,qwen2.5-1.5b
40,model.layers.20.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
41,model.layers.20.mlp.gate_proj,8960,0.09137923052466357,0.0,0.001953125,9,qwen2.5-1.5b
42,model.layers.21.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
43,model.layers.21.mlp.gate_proj,8960,0.09137923052466357,0.0,0.00390625,8,qwen2.5-1.5b
44,model.layers.22.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
45,model.layers.22.mlp.gate_proj,8960,0.09137923052466357,0.0,0.03125,5,qwen2.5-1.5b
46,model.layers.23.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
47,model.layers.23.mlp.gate_proj,8960,0.09137923052466357,0.0,0.00390625,8,qwen2.5-1.5b
48,model.layers.24.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
49,model.layers.24.mlp.gate_proj,8960,0.09137923052466357,0.0,0.0009765625,10,qwen2.5-1.5b
50,model.layers.25.self_attn.q_proj,2,0.9999999403953552,0.99951171875,1.0,0,qwen2.5-1.5b
51,model.layers.25.mlp.gate_proj,8960,0.09137923052466357,0.0,0.000244140625,12,qwen2.5-1.5b
