site_idx,site_key,n_neurons,birthday_bound_fp32,birthday_bound_fp16,recovery_prob,n_tie_groups,model_name
0,layer1.0.conv1,64,0.9998798441038291,0.36983086210720606,1.0,0,resnet101
1,layer1.0.conv2,64,0.9998798441038291,0.36983086210720606,1.0,0,resnet101
2,layer1.1.conv1,64,0.9998798441038291,0.36983086210720606,1.0,0,resnet101
3,layer1.1.conv2,64,0.9998798441038291,0.36983086210720606,1.0,0,resnet101
4,layer1.2.conv1,64,0.9998798441038291,0.36983086210720606,1.0,0,resnet101
5,layer1.2.conv2,64,0.9998798441038291,0.36983086210720606,1.0,0,resnet101
6,layer2.0.conv1,128,0.9995156495555773,0.017356766164170798,1.0,0,resnet101
7,layer2.0.conv2,128,0.9995156495555773,0.017356766164170798,1.0,0,resnet101
8,layer2.1.conv1,128,0.9995156495555773,0.017356766164170798,1.0,0,resnet101
9,layer2.1.conv2,128,0.9995156495555773,0.017356766164170798,1.0,0,resnet101
10,layer2.2.conv1,128,0.9995156495555773,0.017356766164170798,1.0,0,resnet101
11,layer2.2.conv2,128,0.9995156495555773,0.017356766164170798,1.0,0,resnet101
12,layer2.3.conv1,128,0.9995156495555773,0.017356766164170798,1.0,0,resnet101
13,layer2.3.conv2,128,0.9995156495555773,0.017356766164170798,1.0,0,resnet101
14,layer3.0.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
15,layer3.0.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
16,layer3.1.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
17,layer3.1.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
18,layer3.2.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
19,layer3.2.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
20,layer3.3.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
21,layer3.3.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
22,layer3.4.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
23,layer3.4.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
24,layer3.5.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
25,layer3.5.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
26,layer3.6.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
27,layer3.6.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
28,layer3.7.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
29,layer3.7.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
30,layer3.8.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
31,layer3.8.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
32,layer3.9.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
33,layer3.9.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
34,layer3.10.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
35,layer3.10.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
36,layer3.11.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
37,layer3.11.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
38,layer3.12.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
39,layer3.12.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
40,layer3.13.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
41,layer3.13.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
42,layer3.14.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
43,layer3.14.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
44,layer3.15.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
45,layer3.15.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
46,layer3.16.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
47,layer3.16.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
48,layer3.17.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
49,layer3.17.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
50,layer3.18.conv1,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
51,layer3.18.conv2,256,0.9980563857875795,5.904390404511139e-08,1.0,0,resnet101
