site_idx,site_key,n_neurons,birthday_bound_fp32,birthday_bound_fp16,recovery_prob,n_tie_groups,model_name
0,features.0,64,0.9998798441038291,0.36983086210720606,1.0,0,vgg16
1,features.2,64,0.9998798441038291,0.36983086210720606,1.0,0,vgg16
2,features.5,128,0.9995156495555773,0.017356766164170798,1.0,0,vgg16
3,features.7,128,0.9995156495555773,0.017356766164170798,1.0,0,vgg16
4,features.10,256,0.9980563857875795,5.904390404511139e-08,1.0,0,vgg16
5,features.12,256,0.9980563857875795,5.904390404511139e-08,1.0,0,vgg16
6,features.14,256,0.9980563857875795,5.904390404511139e-08,1.0,0,vgg16
7,features.17,512,0.9922329997940535,4.069941563989066e-31,1.0,0,vgg16
8,features.19,512,0.9922329997940535,4.069941563989066e-31,1.0,0,vgg16
9,features.21,512,0.9922329997940535,4.069941563989066e-31,1.0,0,vgg16
10,features.24,512,0.9922329997940535,4.069941563989066e-31,1.0,0,vgg16
11,features.26,512,0.9922329997940535,4.069941563989066e-31,1.0,0,vgg16
12,classifier.0,4096,0.6065800273387081,0.0,0.03125,5,vgg16
13,classifier.3,4096,0.6065800273387081,0.0,0.0078125,7,vgg16
