model_name,metric,n_layers,n_total_units,n_unique_exact,n_unique_tol,uniq_frac_exact,uniq_frac_tol,n_groups_ge2,max_tie_group,tolerance,elapsed
alexnet,l1_norm,8,10344,10335,10334,0.9991299303944315,0.9990332559938129,9,2,1e-06,0.5610613822937012
alexnet,l2_norm,8,10344,10340,10195,0.9996133023975251,0.9855955143078113,4,2,1e-06,0.5610613822937012
alexnet,variance,8,10344,10339,845,0.9995166279969064,0.08168986852281516,5,2,1e-06,0.5610613822937012
vgg11,l1_norm,11,11944,11932,11932,0.9989953114534494,0.9989953114534494,12,2,1e-06,1.1487228870391846
vgg11,l2_norm,11,11944,11928,11704,0.9986604152712659,0.9799062290689886,16,2,1e-06,1.1487228870391846
vgg11,variance,11,11944,11940,1193,0.9996651038178165,0.09988278633623576,4,2,1e-06,1.1487228870391846
vgg11_bn,l1_norm,11,11944,11932,11756,0.9989953114534494,0.9842598794373744,12,2,1e-06,14.51329517364502
vgg11_bn,l2_norm,11,11944,11931,11455,0.9989115874079035,0.9590589417280643,13,2,1e-06,14.51329517364502
vgg11_bn,variance,11,11944,11943,955,0.9999162759544541,0.07995646349631615,1,2,1e-06,14.51329517364502
vgg13,l1_norm,13,12136,12127,12127,0.9992584047462096,0.9992584047462096,9,2,1e-06,19.412850856781006
vgg13,l2_norm,13,12136,12128,11885,0.999340804218853,0.9793177323665129,8,2,1e-06,19.412850856781006
vgg13,variance,13,12136,12131,1307,0.9995880026367832,0.10769611074489123,5,2,1e-06,19.412850856781006
vgg13_bn,l1_norm,13,12136,12122,11886,0.9988464073829928,0.9794001318391562,14,2,1e-06,15.560645341873169
vgg13_bn,l2_norm,13,12136,12121,11551,0.9987640079103494,0.9517963085036256,15,2,1e-06,15.560645341873169
vgg13_bn,variance,13,12136,12133,972,0.9997528015820699,0.08009228740936059,3,2,1e-06,15.560645341873169
vgg16,l1_norm,16,13416,13404,13404,0.9991055456171736,0.9991055456171736,12,2,1e-06,1.1916687488555908
vgg16,l2_norm,16,13416,13408,13143,0.9994036970781157,0.9796511627906976,8,2,1e-06,1.1916687488555908
vgg16,variance,16,13416,13413,1398,0.9997763864042933,0.10420393559928444,3,2,1e-06,1.1916687488555908
vgg16_bn,l1_norm,16,13416,13410,13201,0.9995527728085868,0.9839743589743589,6,2,1e-06,7.4963538646698
vgg16_bn,l2_norm,16,13416,13413,12882,0.9997763864042933,0.9601967799642218,3,2,1e-06,7.4963538646698
vgg16_bn,variance,16,13416,13410,1098,0.9995527728085868,0.08184257602862254,6,2,1e-06,7.4963538646698
vgg19,l1_norm,19,14696,14684,14684,0.9991834512792597,0.9991834512792597,12,2,1e-06,22.419466972351074
vgg19,l2_norm,19,14696,14688,14444,0.9994556341861731,0.9828524768644529,8,2,1e-06,22.419466972351074
vgg19,variance,19,14696,14691,1459,0.9996597713663582,0.09927871529667937,5,2,1e-06,22.419466972351074
vgg19_bn,l1_norm,19,14696,14689,14257,0.9995236799129015,0.9701279259662493,7,2,1e-06,15.881508827209473
vgg19_bn,l2_norm,19,14696,14679,13722,0.9988432226456179,0.933723462166576,17,2,1e-06,15.881508827209473
vgg19_bn,variance,19,14696,14692,1205,0.9997278170930866,0.08199510070767556,4,2,1e-06,15.881508827209473
resnet18,l1_norm,21,5800,5799,5796,0.9998275862068966,0.9993103448275862,1,2,1e-06,2.1186683177948
resnet18,l2_norm,21,5800,5799,5778,0.9998275862068966,0.9962068965517241,1,2,1e-06,2.1186683177948
