site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
0,conv_bn_conv,"['features.denseblock1.denselayer1.conv1.weight', 'features.denseblock1.denselayer1.norm2.weight']",128,l1_norm,0,1.0,0,1.0,8,0.9375,8,0.9375,24,0.8125,densenet121
1,conv_bn_conv,"['features.denseblock1.denselayer2.conv1.weight', 'features.denseblock1.denselayer2.norm2.weight']",128,l1_norm,0,1.0,0,1.0,2,0.984375,2,0.984375,9,0.9296875,densenet121
2,conv_bn_conv,"['features.denseblock1.denselayer3.conv1.weight', 'features.denseblock1.denselayer3.norm2.weight']",128,l1_norm,0,1.0,0,1.0,16,0.875,16,0.875,24,0.8125,densenet121
3,conv_bn_conv,"['features.denseblock1.denselayer4.conv1.weight', 'features.denseblock1.denselayer4.norm2.weight']",128,l1_norm,0,1.0,0,1.0,17,0.8671875,17,0.8671875,22,0.828125,densenet121
4,conv_bn_conv,"['features.denseblock1.denselayer5.conv1.weight', 'features.denseblock1.denselayer5.norm2.weight']",128,l1_norm,0,1.0,0,1.0,12,0.90625,12,0.90625,20,0.84375,densenet121
5,conv_bn_conv,"['features.denseblock1.denselayer6.conv1.weight', 'features.denseblock1.denselayer6.norm2.weight']",128,l1_norm,0,1.0,0,1.0,19,0.8515625,19,0.8515625,19,0.8515625,densenet121
6,conv_bn_conv,"['features.denseblock2.denselayer1.conv1.weight', 'features.denseblock2.denselayer1.norm2.weight']",128,l1_norm,0,1.0,0,1.0,12,0.90625,12,0.90625,31,0.7578125,densenet121
7,conv_bn_conv,"['features.denseblock2.denselayer2.conv1.weight', 'features.denseblock2.denselayer2.norm2.weight']",128,l1_norm,0,1.0,0,1.0,8,0.9375,8,0.9375,19,0.8515625,densenet121
8,conv_bn_conv,"['features.denseblock2.denselayer3.conv1.weight', 'features.denseblock2.denselayer3.norm2.weight']",128,l1_norm,0,1.0,0,1.0,19,0.8515625,19,0.8515625,27,0.7890625,densenet121
9,conv_bn_conv,"['features.denseblock2.denselayer4.conv1.weight', 'features.denseblock2.denselayer4.norm2.weight']",128,l1_norm,0,1.0,0,1.0,8,0.9375,8,0.9375,8,0.9375,densenet121
