site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
0,llama_attn,"['model.layers.0.self_attn.q_proj.weight', 'model.layers.0.self_attn.k_proj.weight']",8,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,llama-3.2-1b
1,llama_mlp,"['model.layers.0.mlp.gate_proj.weight', 'model.layers.0.mlp.up_proj.weight']",8192,l1_norm,10,0.998779296875,5,32.0,7707,0.0592041015625,7707,0.0592041015625,7707,0.0592041015625,llama-3.2-1b
2,llama_attn,"['model.layers.1.self_attn.q_proj.weight', 'model.layers.1.self_attn.k_proj.weight']",8,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,llama-3.2-1b
3,llama_mlp,"['model.layers.1.mlp.gate_proj.weight', 'model.layers.1.mlp.up_proj.weight']",8192,l1_norm,14,0.998291015625,7,128.0,7511,0.0831298828125,7511,0.0831298828125,7511,0.0831298828125,llama-3.2-1b
4,llama_attn,"['model.layers.2.self_attn.q_proj.weight', 'model.layers.2.self_attn.k_proj.weight']",8,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,llama-3.2-1b
5,llama_mlp,"['model.layers.2.mlp.gate_proj.weight', 'model.layers.2.mlp.up_proj.weight']",8192,l1_norm,16,0.998046875,8,256.0,7559,0.0772705078125,7559,0.0772705078125,7559,0.0772705078125,llama-3.2-1b
6,llama_attn,"['model.layers.3.self_attn.q_proj.weight', 'model.layers.3.self_attn.k_proj.weight']",8,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,llama-3.2-1b
7,llama_mlp,"['model.layers.3.mlp.gate_proj.weight', 'model.layers.3.mlp.up_proj.weight']",8192,l1_norm,2,0.999755859375,1,2.0,7361,0.1014404296875,7361,0.1014404296875,7361,0.1014404296875,llama-3.2-1b
8,llama_attn,"['model.layers.4.self_attn.q_proj.weight', 'model.layers.4.self_attn.k_proj.weight']",8,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,llama-3.2-1b
9,llama_mlp,"['model.layers.4.mlp.gate_proj.weight', 'model.layers.4.mlp.up_proj.weight']",8192,l1_norm,4,0.99951171875,2,4.0,7181,0.1234130859375,7181,0.1234130859375,7181,0.1234130859375,llama-3.2-1b
10,llama_attn,"['model.layers.5.self_attn.q_proj.weight', 'model.layers.5.self_attn.k_proj.weight']",8,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,llama-3.2-1b
