model_name,metric,lsb_zeroed,n_layers,n_total,n_unique_exact,n_tied,uniq_frac,n_groups_ge2,max_tie_group
resnet18,l1_norm,0,21,5800,5799,1,0.9998275862068966,1,2
resnet18,l1_norm,4,21,5800,5800,0,1.0,0,1
resnet18,l1_norm,8,21,5800,5800,0,1.0,0,1
resnet18,l1_norm,12,21,5800,5800,0,1.0,0,1
resnet18,l1_norm,16,21,5800,5800,0,1.0,0,1
resnet18,l1_norm,20,21,5800,5799,1,0.9998275862068966,1,2
mobilenet_v2,l1_norm,0,53,18056,18052,4,0.9997784669915818,4,2
mobilenet_v2,l1_norm,4,53,18056,18053,3,0.9998338502436863,3,2
mobilenet_v2,l1_norm,8,53,18056,18051,5,0.9997230837394772,5,2
mobilenet_v2,l1_norm,12,53,18056,18005,51,0.9971754541426673,49,3
mobilenet_v2,l1_norm,16,53,18056,17464,592,0.9672131147540983,471,6
mobilenet_v2,l1_norm,20,53,18056,15334,2722,0.849246787771378,1082,30
mnasnet0_5,l1_norm,0,53,11312,11309,3,0.9997347949080623,3,2
mnasnet0_5,l1_norm,4,53,11312,11311,1,0.9999115983026874,1,2
mnasnet0_5,l1_norm,8,53,11312,11311,1,0.9999115983026874,1,2
mnasnet0_5,l1_norm,12,53,11312,11309,3,0.9997347949080623,3,2
mnasnet0_5,l1_norm,16,53,11312,11285,27,0.9976131541725601,27,2
mnasnet0_5,l1_norm,20,53,11312,10908,404,0.9642857142857143,311,8
