site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
0,llama_attn,"['model.layers.0.self_attn.q_proj.weight', 'model.layers.0.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
1,llama_mlp,"['model.layers.0.mlp.gate_proj.weight', 'model.layers.0.mlp.up_proj.weight']",8960,l1_norm,16,0.9982142857142857,8,256.0,8399,0.06261160714285718,8399,0.06261160714285718,8399,0.06261160714285718,qwen2.5-1.5b
2,llama_attn,"['model.layers.1.self_attn.q_proj.weight', 'model.layers.1.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
3,llama_mlp,"['model.layers.1.mlp.gate_proj.weight', 'model.layers.1.mlp.up_proj.weight']",8960,l1_norm,20,0.9977678571428571,10,1024.0,8461,0.055691964285714324,8461,0.055691964285714324,8461,0.055691964285714324,qwen2.5-1.5b
4,llama_attn,"['model.layers.2.self_attn.q_proj.weight', 'model.layers.2.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
5,llama_mlp,"['model.layers.2.mlp.gate_proj.weight', 'model.layers.2.mlp.up_proj.weight']",8960,l1_norm,46,0.9948660714285714,23,8388608.0,8393,0.06328124999999996,8393,0.06328124999999996,8393,0.06328124999999996,qwen2.5-1.5b
6,llama_attn,"['model.layers.3.self_attn.q_proj.weight', 'model.layers.3.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
7,llama_mlp,"['model.layers.3.mlp.gate_proj.weight', 'model.layers.3.mlp.up_proj.weight']",8960,l1_norm,18,0.9979910714285715,9,512.0,8244,0.07991071428571428,8244,0.07991071428571428,8244,0.07991071428571428,qwen2.5-1.5b
8,llama_attn,"['model.layers.4.self_attn.q_proj.weight', 'model.layers.4.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
9,llama_mlp,"['model.layers.4.mlp.gate_proj.weight', 'model.layers.4.mlp.up_proj.weight']",8960,l1_norm,14,0.9984375,7,128.0,8445,0.0574776785714286,8445,0.0574776785714286,8445,0.0574776785714286,qwen2.5-1.5b
10,llama_attn,"['model.layers.5.self_attn.q_proj.weight', 'model.layers.5.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
11,llama_mlp,"['model.layers.5.mlp.gate_proj.weight', 'model.layers.5.mlp.up_proj.weight']",8960,l1_norm,12,0.9986607142857142,6,64.0,8228,0.08169642857142856,8228,0.08169642857142856,8228,0.08169642857142856,qwen2.5-1.5b
12,llama_attn,"['model.layers.6.self_attn.q_proj.weight', 'model.layers.6.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
13,llama_mlp,"['model.layers.6.mlp.gate_proj.weight', 'model.layers.6.mlp.up_proj.weight']",8960,l1_norm,24,0.9973214285714286,12,4096.0,8350,0.0680803571428571,8350,0.0680803571428571,8350,0.0680803571428571,qwen2.5-1.5b
14,llama_attn,"['model.layers.7.self_attn.q_proj.weight', 'model.layers.7.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
15,llama_mlp,"['model.layers.7.mlp.gate_proj.weight', 'model.layers.7.mlp.up_proj.weight']",8960,l1_norm,36,0.9959821428571428,18,262144.0,8238,0.08058035714285716,8238,0.08058035714285716,8238,0.08058035714285716,qwen2.5-1.5b
16,llama_attn,"['model.layers.8.self_attn.q_proj.weight', 'model.layers.8.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
17,llama_mlp,"['model.layers.8.mlp.gate_proj.weight', 'model.layers.8.mlp.up_proj.weight']",8960,l1_norm,18,0.9979910714285715,9,512.0,8274,0.07656249999999998,8274,0.07656249999999998,8274,0.07656249999999998,qwen2.5-1.5b
18,llama_attn,"['model.layers.9.self_attn.q_proj.weight', 'model.layers.9.self_attn.k_proj.weight']",2,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,qwen2.5-1.5b
