site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
0,conv_bn_conv,"['layer1.0.conv1.weight', 'layer1.0.bn1.weight']",64,l1_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,2,0.96875,resnet101
1,conv_bn_conv,"['layer1.0.conv2.weight', 'layer1.0.bn2.weight']",64,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,resnet101
2,conv_bn_conv,"['layer1.1.conv1.weight', 'layer1.1.bn1.weight']",64,l1_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,2,0.96875,resnet101
3,conv_bn_conv,"['layer1.1.conv2.weight', 'layer1.1.bn2.weight']",64,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,resnet101
4,conv_bn_conv,"['layer1.2.conv1.weight', 'layer1.2.bn1.weight']",64,l1_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,2,0.96875,resnet101
5,conv_bn_conv,"['layer1.2.conv2.weight', 'layer1.2.bn2.weight']",64,l1_norm,0,1.0,0,1.0,2,0.96875,2,0.96875,2,0.96875,resnet101
6,conv_bn_conv,"['layer2.0.conv1.weight', 'layer2.0.bn1.weight']",128,l1_norm,0,1.0,0,1.0,11,0.9140625,11,0.9140625,11,0.9140625,resnet101
7,conv_bn_conv,"['layer2.0.conv2.weight', 'layer2.0.bn2.weight']",128,l1_norm,0,1.0,0,1.0,16,0.875,16,0.875,16,0.875,resnet101
8,conv_bn_conv,"['layer2.1.conv1.weight', 'layer2.1.bn1.weight']",128,l1_norm,0,1.0,0,1.0,2,0.984375,2,0.984375,2,0.984375,resnet101
9,conv_bn_conv,"['layer2.1.conv2.weight', 'layer2.1.bn2.weight']",128,l1_norm,0,1.0,0,1.0,8,0.9375,8,0.9375,8,0.9375,resnet101
10,conv_bn_conv,"['layer2.2.conv1.weight', 'layer2.2.bn1.weight']",128,l1_norm,0,1.0,0,1.0,10,0.921875,10,0.921875,10,0.921875,resnet101
11,conv_bn_conv,"['layer2.2.conv2.weight', 'layer2.2.bn2.weight']",128,l1_norm,0,1.0,0,1.0,22,0.828125,22,0.828125,22,0.828125,resnet101
12,conv_bn_conv,"['layer2.3.conv1.weight', 'layer2.3.bn1.weight']",128,l1_norm,0,1.0,0,1.0,14,0.890625,14,0.890625,14,0.890625,resnet101
13,conv_bn_conv,"['layer2.3.conv2.weight', 'layer2.3.bn2.weight']",128,l1_norm,0,1.0,0,1.0,4,0.96875,4,0.96875,4,0.96875,resnet101
14,conv_bn_conv,"['layer3.0.conv1.weight', 'layer3.0.bn1.weight']",256,l1_norm,0,1.0,0,1.0,56,0.78125,56,0.78125,56,0.78125,resnet101
15,conv_bn_conv,"['layer3.0.conv2.weight', 'layer3.0.bn2.weight']",256,l1_norm,0,1.0,0,1.0,42,0.8359375,42,0.8359375,42,0.8359375,resnet101
16,conv_bn_conv,"['layer3.1.conv1.weight', 'layer3.1.bn1.weight']",256,l1_norm,0,1.0,0,1.0,54,0.7890625,54,0.7890625,54,0.7890625,resnet101
17,conv_bn_conv,"['layer3.1.conv2.weight', 'layer3.1.bn2.weight']",256,l1_norm,0,1.0,0,1.0,46,0.8203125,46,0.8203125,46,0.8203125,resnet101
18,conv_bn_conv,"['layer3.2.conv1.weight', 'layer3.2.bn1.weight']",256,l1_norm,0,1.0,0,1.0,38,0.8515625,38,0.8515625,38,0.8515625,resnet101
19,conv_bn_conv,"['layer3.2.conv2.weight', 'layer3.2.bn2.weight']",256,l1_norm,0,1.0,0,1.0,44,0.828125,44,0.828125,44,0.828125,resnet101
20,conv_bn_conv,"['layer3.3.conv1.weight', 'layer3.3.bn1.weight']",256,l1_norm,0,1.0,0,1.0,31,0.87890625,31,0.87890625,31,0.87890625,resnet101
21,conv_bn_conv,"['layer3.3.conv2.weight', 'layer3.3.bn2.weight']",256,l1_norm,0,1.0,0,1.0,50,0.8046875,50,0.8046875,50,0.8046875,resnet101
22,conv_bn_conv,"['layer3.4.conv1.weight', 'layer3.4.bn1.weight']",256,l1_norm,0,1.0,0,1.0,59,0.76953125,59,0.76953125,59,0.76953125,resnet101
23,conv_bn_conv,"['layer3.4.conv2.weight', 'layer3.4.bn2.weight']",256,l1_norm,0,1.0,0,1.0,59,0.76953125,59,0.76953125,59,0.76953125,resnet101
24,conv_bn_conv,"['layer3.5.conv1.weight', 'layer3.5.bn1.weight']",256,l1_norm,0,1.0,0,1.0,56,0.78125,56,0.78125,56,0.78125,resnet101
25,conv_bn_conv,"['layer3.5.conv2.weight', 'layer3.5.bn2.weight']",256,l1_norm,0,1.0,0,1.0,54,0.7890625,54,0.7890625,54,0.7890625,resnet101
26,conv_bn_conv,"['layer3.6.conv1.weight', 'layer3.6.bn1.weight']",256,l1_norm,0,1.0,0,1.0,66,0.7421875,66,0.7421875,66,0.7421875,resnet101
27,conv_bn_conv,"['layer3.6.conv2.weight', 'layer3.6.bn2.weight']",256,l1_norm,0,1.0,0,1.0,52,0.796875,52,0.796875,52,0.796875,resnet101
28,conv_bn_conv,"['layer3.7.conv1.weight', 'layer3.7.bn1.weight']",256,l1_norm,0,1.0,0,1.0,46,0.8203125,46,0.8203125,46,0.8203125,resnet101
29,conv_bn_conv,"['layer3.7.conv2.weight', 'layer3.7.bn2.weight']",256,l1_norm,0,1.0,0,1.0,63,0.75390625,63,0.75390625,63,0.75390625,resnet101
30,conv_bn_conv,"['layer3.8.conv1.weight', 'layer3.8.bn1.weight']",256,l1_norm,0,1.0,0,1.0,37,0.85546875,37,0.85546875,37,0.85546875,resnet101
31,conv_bn_conv,"['layer3.8.conv2.weight', 'layer3.8.bn2.weight']",256,l1_norm,0,1.0,0,1.0,46,0.8203125,46,0.8203125,46,0.8203125,resnet101
32,conv_bn_conv,"['layer3.9.conv1.weight', 'layer3.9.bn1.weight']",256,l1_norm,0,1.0,0,1.0,66,0.7421875,66,0.7421875,66,0.7421875,resnet101
33,conv_bn_conv,"['layer3.9.conv2.weight', 'layer3.9.bn2.weight']",256,l1_norm,0,1.0,0,1.0,61,0.76171875,61,0.76171875,61,0.76171875,resnet101
34,conv_bn_conv,"['layer3.10.conv1.weight', 'layer3.10.bn1.weight']",256,l1_norm,0,1.0,0,1.0,66,0.7421875,66,0.7421875,66,0.7421875,resnet101
35,conv_bn_conv,"['layer3.10.conv2.weight', 'layer3.10.bn2.weight']",256,l1_norm,0,1.0,0,1.0,23,0.91015625,23,0.91015625,23,0.91015625,resnet101
36,conv_bn_conv,"['layer3.11.conv1.weight', 'layer3.11.bn1.weight']",256,l1_norm,0,1.0,0,1.0,68,0.734375,68,0.734375,68,0.734375,resnet101
37,conv_bn_conv,"['layer3.11.conv2.weight', 'layer3.11.bn2.weight']",256,l1_norm,0,1.0,0,1.0,51,0.80078125,51,0.80078125,51,0.80078125,resnet101
38,conv_bn_conv,"['layer3.12.conv1.weight', 'layer3.12.bn1.weight']",256,l1_norm,0,1.0,0,1.0,57,0.77734375,57,0.77734375,57,0.77734375,resnet101
39,conv_bn_conv,"['layer3.12.conv2.weight', 'layer3.12.bn2.weight']",256,l1_norm,0,1.0,0,1.0,55,0.78515625,55,0.78515625,55,0.78515625,resnet101
40,conv_bn_conv,"['layer3.13.conv1.weight', 'layer3.13.bn1.weight']",256,l1_norm,0,1.0,0,1.0,59,0.76953125,59,0.76953125,59,0.76953125,resnet101
