site_idx,site_kind,site_keys,n_neurons,metric_name,n_exact_ties,uniqueness_prob_exact,n_tie_groups,equivalent_orderings,n_approx_ties_1e-07,uniqueness_prob_1e-07,n_approx_ties_1e-05,uniqueness_prob_1e-05,n_approx_ties_0.001,uniqueness_prob_0.001,model_name
0,vgg_pair,"['features.0.weight', 'features.0.bias']",64,l1_norm,0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,vgg16
1,vgg_pair,"['features.2.weight', 'features.2.bias']",64,l1_norm,0,1.0,0,1.0,4,0.9375,4,0.9375,4,0.9375,vgg16
2,vgg_pair,"['features.5.weight', 'features.5.bias']",128,l1_norm,0,1.0,0,1.0,6,0.953125,6,0.953125,6,0.953125,vgg16
3,vgg_pair,"['features.7.weight', 'features.7.bias']",128,l1_norm,0,1.0,0,1.0,10,0.921875,10,0.921875,10,0.921875,vgg16
4,vgg_pair,"['features.10.weight', 'features.10.bias']",256,l1_norm,0,1.0,0,1.0,50,0.8046875,50,0.8046875,50,0.8046875,vgg16
5,vgg_pair,"['features.12.weight', 'features.12.bias']",256,l1_norm,0,1.0,0,1.0,68,0.734375,68,0.734375,68,0.734375,vgg16
6,vgg_pair,"['features.14.weight', 'features.14.bias']",256,l1_norm,0,1.0,0,1.0,61,0.76171875,61,0.76171875,61,0.76171875,vgg16
7,vgg_pair,"['features.17.weight', 'features.17.bias']",512,l1_norm,0,1.0,0,1.0,203,0.603515625,203,0.603515625,203,0.603515625,vgg16
8,vgg_pair,"['features.19.weight', 'features.19.bias']",512,l1_norm,0,1.0,0,1.0,220,0.5703125,220,0.5703125,220,0.5703125,vgg16
9,vgg_pair,"['features.21.weight', 'features.21.bias']",512,l1_norm,0,1.0,0,1.0,194,0.62109375,194,0.62109375,194,0.62109375,vgg16
10,vgg_pair,"['features.24.weight', 'features.24.bias']",512,l1_norm,0,1.0,0,1.0,264,0.484375,264,0.484375,264,0.484375,vgg16
11,vgg_pair,"['features.26.weight', 'features.26.bias']",512,l1_norm,0,1.0,0,1.0,259,0.494140625,259,0.494140625,259,0.494140625,vgg16
12,vgg_pair,"['classifier.0.weight', 'classifier.0.bias']",4096,l1_norm,10,0.99755859375,5,32.0,3826,0.06591796875,3826,0.06591796875,3826,0.06591796875,vgg16
13,vgg_pair,"['classifier.3.weight', 'classifier.3.bias']",4096,l1_norm,14,0.99658203125,7,128.0,3803,0.071533203125,3803,0.071533203125,3803,0.071533203125,vgg16
0,vgg_pair,"['features.0.weight', 'features.0.bias']",64,l2_norm,0,1.0,0,1.0,0,1.0,0,1.0,4,0.9375,vgg16
1,vgg_pair,"['features.2.weight', 'features.2.bias']",64,l2_norm,0,1.0,0,1.0,0,1.0,0,1.0,6,0.90625,vgg16
2,vgg_pair,"['features.5.weight', 'features.5.bias']",128,l2_norm,0,1.0,0,1.0,6,0.953125,6,0.953125,30,0.765625,vgg16
3,vgg_pair,"['features.7.weight', 'features.7.bias']",128,l2_norm,0,1.0,0,1.0,4,0.96875,4,0.96875,28,0.78125,vgg16
4,vgg_pair,"['features.10.weight', 'features.10.bias']",256,l2_norm,0,1.0,0,1.0,48,0.8125,48,0.8125,161,0.37109375,vgg16
5,vgg_pair,"['features.12.weight', 'features.12.bias']",256,l2_norm,0,1.0,0,1.0,50,0.8046875,50,0.8046875,153,0.40234375,vgg16
6,vgg_pair,"['features.14.weight', 'features.14.bias']",256,l2_norm,0,1.0,0,1.0,44,0.828125,44,0.828125,140,0.453125,vgg16
7,vgg_pair,"['features.17.weight', 'features.17.bias']",512,l2_norm,0,1.0,0,1.0,189,0.630859375,189,0.630859375,429,0.162109375,vgg16
8,vgg_pair,"['features.19.weight', 'features.19.bias']",512,l2_norm,0,1.0,0,1.0,230,0.55078125,230,0.55078125,439,0.142578125,vgg16
9,vgg_pair,"['features.21.weight', 'features.21.bias']",512,l2_norm,0,1.0,0,1.0,247,0.517578125,247,0.517578125,447,0.126953125,vgg16
10,vgg_pair,"['features.24.weight', 'features.24.bias']",512,l2_norm,0,1.0,0,1.0,260,0.4921875,260,0.4921875,456,0.109375,vgg16
11,vgg_pair,"['features.26.weight', 'features.26.bias']",512,l2_norm,0,1.0,0,1.0,230,0.55078125,230,0.55078125,460,0.1015625,vgg16
12,vgg_pair,"['classifier.0.weight', 'classifier.0.bias']",4096,l2_norm,4,0.9990234375,2,4.0,3857,0.058349609375,3857,0.058349609375,4047,0.011962890625,vgg16
13,vgg_pair,"['classifier.3.weight', 'classifier.3.bias']",4096,l2_norm,12,0.9970703125,6,64.0,3806,0.07080078125,3806,0.07080078125,4037,0.014404296875,vgg16
0,vgg_pair,"['features.0.weight', 'features.0.bias']",64,bias_value,0,1.0,0,1.0,2,0.96875,2,0.96875,6,0.90625,vgg16
1,vgg_pair,"['features.2.weight', 'features.2.bias']",64,bias_value,0,1.0,0,1.0,0,1.0,0,1.0,11,0.828125,vgg16
2,vgg_pair,"['features.5.weight', 'features.5.bias']",128,bias_value,0,1.0,0,1.0,0,1.0,0,1.0,59,0.5390625,vgg16
3,vgg_pair,"['features.7.weight', 'features.7.bias']",128,bias_value,0,1.0,0,1.0,2,0.984375,2,0.984375,60,0.53125,vgg16
4,vgg_pair,"['features.10.weight', 'features.10.bias']",256,bias_value,0,1.0,0,1.0,4,0.984375,4,0.984375,187,0.26953125,vgg16
5,vgg_pair,"['features.12.weight', 'features.12.bias']",256,bias_value,0,1.0,0,1.0,4,0.984375,6,0.9765625,198,0.2265625,vgg16
6,vgg_pair,"['features.14.weight', 'features.14.bias']",256,bias_value,0,1.0,0,1.0,0,1.0,0,1.0,175,0.31640625,vgg16
7,vgg_pair,"['features.17.weight', 'features.17.bias']",512,bias_value,0,1.0,0,1.0,10,0.98046875,20,0.9609375,448,0.125,vgg16
8,vgg_pair,"['features.19.weight', 'features.19.bias']",512,bias_value,0,1.0,0,1.0,12,0.9765625,14,0.97265625,431,0.158203125,vgg16
9,vgg_pair,"['features.21.weight', 'features.21.bias']",512,bias_value,0,1.0,0,1.0,22,0.95703125,26,0.94921875,440,0.140625,vgg16
10,vgg_pair,"['features.24.weight', 'features.24.bias']",512,bias_value,0,1.0,0,1.0,16,0.96875,20,0.9609375,439,0.142578125,vgg16
11,vgg_pair,"['features.26.weight', 'features.26.bias']",512,bias_value,0,1.0,0,1.0,18,0.96484375,20,0.9609375,403,0.212890625,vgg16
12,vgg_pair,"['classifier.0.weight', 'classifier.0.bias']",4096,bias_value,0,1.0,0,1.0,854,0.79150390625,2631,0.357666015625,4087,0.002197265625,vgg16
13,vgg_pair,"['classifier.3.weight', 'classifier.3.bias']",4096,bias_value,0,1.0,0,1.0,2589,0.367919921875,2637,0.356201171875,4092,0.0009765625,vgg16
0,vgg_pair,"['features.0.weight', 'features.0.bias']",64,variance,0,1.0,0,1.0,0,1.0,0,1.0,35,0.453125,vgg16
1,vgg_pair,"['features.2.weight', 'features.2.bias']",64,variance,0,1.0,0,1.0,0,1.0,8,0.875,64,0.0,vgg16
2,vgg_pair,"['features.5.weight', 'features.5.bias']",128,variance,0,1.0,0,1.0,2,0.984375,70,0.453125,128,0.0,vgg16
3,vgg_pair,"['features.7.weight', 'features.7.bias']",128,variance,0,1.0,0,1.0,2,0.984375,90,0.296875,128,0.0,vgg16
4,vgg_pair,"['features.10.weight', 'features.10.bias']",256,variance,0,1.0,0,1.0,29,0.88671875,240,0.0625,256,0.0,vgg16
5,vgg_pair,"['features.12.weight', 'features.12.bias']",256,variance,0,1.0,0,1.0,29,0.88671875,247,0.03515625,256,0.0,vgg16
6,vgg_pair,"['features.14.weight', 'features.14.bias']",256,variance,0,1.0,0,1.0,25,0.90234375,250,0.0234375,256,0.0,vgg16
7,vgg_pair,"['features.17.weight', 'features.17.bias']",512,variance,0,1.0,0,1.0,112,0.78125,503,0.017578125,512,0.0,vgg16
8,vgg_pair,"['features.19.weight', 'features.19.bias']",512,variance,0,1.0,0,1.0,239,0.533203125,512,0.0,512,0.0,vgg16
9,vgg_pair,"['features.21.weight', 'features.21.bias']",512,variance,0,1.0,0,1.0,209,0.591796875,509,0.005859375,512,0.0,vgg16
10,vgg_pair,"['features.24.weight', 'features.24.bias']",512,variance,0,1.0,0,1.0,207,0.595703125,506,0.01171875,512,0.0,vgg16
11,vgg_pair,"['features.26.weight', 'features.26.bias']",512,variance,0,1.0,0,1.0,238,0.53515625,509,0.005859375,512,0.0,vgg16
12,vgg_pair,"['classifier.0.weight', 'classifier.0.bias']",4096,variance,2,0.99951171875,1,2.0,4073,0.005615234375,4096,0.0,4096,0.0,vgg16
13,vgg_pair,"['classifier.3.weight', 'classifier.3.bias']",4096,variance,4,0.9990234375,2,4.0,3963,0.032470703125,4096,0.0,4096,0.0,vgg16
