model_name,accuracy,time,dataset,method,method_kwargs
densenet121,0.74398,0.1894440650939941,imagenet12,noise,{'eps': 0.0001}
densenet121,0.74236,0.1769607067108154,imagenet12,noise,{'eps': 0.001}
densenet121,0.28594,0.1781902313232422,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.1756153106689453,imagenet12,noise,{'eps': 0.1}
densenet121,0.74412,0.21256685256958,imagenet12,noise,{'eps': 0.0001}
densenet121,0.74248,0.1770868301391601,imagenet12,noise,{'eps': 0.001}
densenet121,0.10492,0.1767580509185791,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.1793150901794433,imagenet12,noise,{'eps': 0.1}
densenet121,0.74426,0.1786761283874511,imagenet12,noise,{'eps': 0.0001}
densenet121,0.74088,0.2110712528228759,imagenet12,noise,{'eps': 0.001}
densenet121,0.14408,0.2132027149200439,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.2834064960479736,imagenet12,noise,{'eps': 0.1}
densenet121,0.74482,0.1761407852172851,imagenet12,noise,{'eps': 0.0001}
densenet121,0.7434,0.1776096820831298,imagenet12,noise,{'eps': 0.001}
densenet121,0.13258,0.1775267124176025,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.177833080291748,imagenet12,noise,{'eps': 0.1}
densenet121,0.74392,0.1760826110839843,imagenet12,noise,{'eps': 0.0001}
densenet121,0.74226,0.1802234649658203,imagenet12,noise,{'eps': 0.001}
densenet121,0.0502,0.1770968437194824,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.176422119140625,imagenet12,noise,{'eps': 0.1}
densenet121,0.74402,0.1766121387481689,imagenet12,noise,{'eps': 0.0001}
densenet121,0.74116,0.1774849891662597,imagenet12,noise,{'eps': 0.001}
densenet121,0.13426,0.1794033050537109,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.1794934272766113,imagenet12,noise,{'eps': 0.1}
densenet121,0.7446,0.177272081375122,imagenet12,noise,{'eps': 0.0001}
densenet121,0.7413,0.2862999439239502,imagenet12,noise,{'eps': 0.001}
densenet121,0.08332,0.1780264377593994,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.2173402309417724,imagenet12,noise,{'eps': 0.1}
densenet121,0.74412,0.1774847507476806,imagenet12,noise,{'eps': 0.0001}
densenet121,0.73808,0.1760613918304443,imagenet12,noise,{'eps': 0.001}
densenet121,0.11568,0.2855713367462158,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.1772572994232177,imagenet12,noise,{'eps': 0.1}
densenet121,0.74426,0.1787641048431396,imagenet12,noise,{'eps': 0.0001}
densenet121,0.74112,0.1772456169128418,imagenet12,noise,{'eps': 0.001}
densenet121,0.12882,0.1778318881988525,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.2857990264892578,imagenet12,noise,{'eps': 0.1}
densenet121,0.74452,0.1775226593017578,imagenet12,noise,{'eps': 0.0001}
densenet121,0.74162,0.1783020496368408,imagenet12,noise,{'eps': 0.001}
densenet121,0.16594,0.176459789276123,imagenet12,noise,{'eps': 0.01}
densenet121,0.001,0.1775121688842773,imagenet12,noise,{'eps': 0.1}
densenet121,0.70428,0.1911349296569824,imagenet12,prune,{'amount': 0.01}
densenet121,0.32336,0.0425360202789306,imagenet12,prune,{'amount': 0.05}
densenet121,0.69496,0.0414831638336181,imagenet12,prune,{'amount': 0.01}
densenet121,0.28932,0.0429127216339111,imagenet12,prune,{'amount': 0.05}
densenet121,0.7131,0.0425014495849609,imagenet12,prune,{'amount': 0.01}
densenet121,0.3834,0.0424237251281738,imagenet12,prune,{'amount': 0.05}
densenet121,0.68686,0.0423452854156494,imagenet12,prune,{'amount': 0.01}
densenet121,0.43038,0.0559620857238769,imagenet12,prune,{'amount': 0.05}
densenet121,0.70492,0.053168773651123,imagenet12,prune,{'amount': 0.01}
densenet121,0.4355,0.0427446365356445,imagenet12,prune,{'amount': 0.05}
densenet121,0.7047,0.042170763015747,imagenet12,prune,{'amount': 0.01}
densenet121,0.3541,0.0514426231384277,imagenet12,prune,{'amount': 0.05}
densenet121,0.6815,0.0419638156890869,imagenet12,prune,{'amount': 0.01}
densenet121,0.28146,0.0512332916259765,imagenet12,prune,{'amount': 0.05}
densenet121,0.71292,0.0503773689270019,imagenet12,prune,{'amount': 0.01}
densenet121,0.43154,0.170384407043457,imagenet12,prune,{'amount': 0.05}
densenet121,0.68912,0.0413596630096435,imagenet12,prune,{'amount': 0.01}
densenet121,0.3576,0.0433666706085205,imagenet12,prune,{'amount': 0.05}
densenet121,0.66724,0.0506055355072021,imagenet12,prune,{'amount': 0.01}
densenet121,0.32926,0.0427567958831787,imagenet12,prune,{'amount': 0.05}
densenet121,0.74438,0.0239481925964355,imagenet12,neuperm,{}
densenet121,0.7444,0.0235967636108398,imagenet12,neuperm,{}
densenet121,0.74438,0.0233051776885986,imagenet12,neuperm,{}
densenet121,0.74436,0.0267190933227539,imagenet12,neuperm,{}
densenet121,0.74436,0.0232086181640625,imagenet12,neuperm,{}
densenet121,0.74436,0.0274348258972167,imagenet12,neuperm,{}
densenet121,0.74438,0.0231444835662841,imagenet12,neuperm,{}
densenet121,0.74436,0.0268378257751464,imagenet12,neuperm,{}
densenet121,0.74436,0.0231201648712158,imagenet12,neuperm,{}
densenet121,0.7444,0.0236215591430664,imagenet12,neuperm,{}
densenet121,0.7444,0.0,imagenet12,original,{}
densenet121,0.72026,0.2287840843200683,imagenet12,quantization,"{'n_bits': 8, 'per_channel': False}"
densenet121,0.74342,0.2293980121612548,imagenet12,quantization,"{'n_bits': 8, 'per_channel': True}"
densenet121,0.0014,0.2299184799194336,imagenet12,quantization,"{'n_bits': 4, 'per_channel': False}"
densenet121,0.19878,0.2294981479644775,imagenet12,quantization,"{'n_bits': 4, 'per_channel': True}"
densenet121,0.001,,imagenet12,quantization,"{'n_bits': 2, 'per_channel': True}"
