model_name,method,accuracy,method_kwargs
efficientnet_b0,original,0.77698,{}
efficientnet_b0,prune,0.56176,{'amount': 0.01}
efficientnet_b0,prune,0.1571,{'amount': 0.01}
efficientnet_b0,prune,0.47182,{'amount': 0.01}
efficientnet_b0,prune,0.00186,{'amount': 0.05}
efficientnet_b0,prune,0.00434,{'amount': 0.05}
efficientnet_b0,prune,0.00124,{'amount': 0.05}
efficientnet_b0,noise,0.77718,{'eps': 0.0001}
efficientnet_b0,noise,0.77708,{'eps': 0.0001}
efficientnet_b0,noise,0.77706,{'eps': 0.0001}
efficientnet_b0,noise,0.777,{'eps': 0.001}
efficientnet_b0,noise,0.77646,{'eps': 0.001}
efficientnet_b0,noise,0.7763,{'eps': 0.001}
efficientnet_b0,noise,0.70992,{'eps': 0.01}
efficientnet_b0,noise,0.71158,{'eps': 0.01}
efficientnet_b0,noise,0.69354,{'eps': 0.01}
efficientnet_b0,noise,0.00092,{'eps': 0.1}
efficientnet_b0,noise,0.00092,{'eps': 0.1}
efficientnet_b0,noise,0.00106,{'eps': 0.1}
efficientnet_b0,quantization,0.769,"{'n_bits': 8, 'per_channel': True}"
efficientnet_b0,quantization,0.0011,"{'n_bits': 4, 'per_channel': True}"
efficientnet_b0,quantization,0.00094,"{'n_bits': 2, 'per_channel': True}"
efficientnet_b0,neuperm,0.77692,{}
efficientnet_b0,neuperm,0.777,{}
efficientnet_b0,neuperm,0.77692,{}
