mode,model,payload,condition,metric,value,repeat,seed,gamma,error
maleficnet_fork,efficientnet_b4,stuxnet,clean,snr,4.874699767841281,,,,
maleficnet_fork,efficientnet_b4,stuxnet,after_neuperm,snr,3.5640711640731784,,,,
maleficnet_fork,efficientnet_b4,destover,clean,snr,4.680068755976582,,,,
maleficnet_fork,efficientnet_b4,destover,after_neuperm,snr,3.463045234190586,,,,
maleficnet_fork,efficientnet_b4,asprox,clean,snr,4.338640003615197,,,,
maleficnet_fork,efficientnet_b4,asprox,after_neuperm,snr,3.214368680845421,,,,
maleficnet_fork,efficientnet_b4,bladabindi,clean,snr,4.944709788407668,,,,
maleficnet_fork,efficientnet_b4,bladabindi,after_neuperm,snr,4.016049359530621,,,,
maleficnet_fork,efficientnet_b0,stuxnet,clean,snr,6.689223583248182,,,,
maleficnet_fork,efficientnet_b0,stuxnet,after_neuperm,snr,4.097470218173241,,,,
maleficnet_fork,efficientnet_b0,stuxnet,noise_0.0001,snr,6.689203336121232,,,,
maleficnet_fork,efficientnet_b0,stuxnet,ptq8_perchannel,snr,6.693106057839477,,,,
maleficnet_fork,densenet121,destover,clean,snr,4.617269751801608,,,,
maleficnet_fork,densenet121,stuxnet,clean,snr,5.262960595223967,,,,
maleficnet_fork,resnet101,asprox,clean,snr,6.628930440209668,,,,
maleficnet_fork,resnet101,bladabindi,clean,snr,7.380213981919917,,,,
maleficnet_fork,resnet101,cerber,clean,snr,5.191968270312312,,,,
maleficnet_fork,resnet101,destover,clean,snr,7.005390263106538,,,,
maleficnet_fork,resnet101,eq.drug,clean,snr,5.359012777430641,,,,
maleficnet_fork,resnet101,kovter,clean,snr,5.928011047321069,,,,
maleficnet_fork,resnet101,stuxnet,clean,snr,7.45058095470741,,,,
maleficnet_fork,resnet50,asprox,clean,snr,6.048461208513346,,,,
maleficnet_fork,resnet50,bladabindi,clean,snr,6.260534143957396,,,,
maleficnet_fork,resnet50,destover,clean,snr,6.619839275321365,,,,
maleficnet_fork,resnet50,stuxnet,clean,snr,7.094926657883369,,,,
maleficnet_fork,vgg11,asprox,clean,snr,7.179751010190806,,,,
maleficnet_fork,vgg11,bladabindi,clean,snr,7.667522099130531,,,,
maleficnet_fork,vgg11,cerber,clean,snr,6.921858083277161,,,,
maleficnet_fork,vgg11,destover,clean,snr,7.997200112028513,,,,
maleficnet_fork,vgg11,eq.drug,clean,snr,7.185298653975943,,,,
maleficnet_fork,vgg11,kovter,clean,snr,7.302886844840868,,,,
maleficnet_fork,vgg11,stuxnet,clean,snr,8.049406576750114,,,,
maleficnet_fork,densenet121,destover,ptq4_perchannel,snr,4.4568,,,,
maleficnet_fork,densenet121,destover,ptq8_perchannel,snr,4.6187,,,,
maleficnet_fork,densenet121,stuxnet,ptq4_perchannel,snr,5.2128,,,,
maleficnet_fork,densenet121,stuxnet,ptq8_perchannel,snr,5.263,,,,
maleficnet_fork,resnet101,asprox,ptq4_perchannel,snr,6.5797,,,,
maleficnet_fork,resnet101,asprox,ptq8_perchannel,snr,6.6271,,,,
maleficnet_fork,resnet101,bladabindi,ptq4_perchannel,snr,7.4321,,,,
maleficnet_fork,resnet101,bladabindi,ptq8_perchannel,snr,7.378,,,,
maleficnet_fork,resnet101,cerber,ptq4_perchannel,snr,4.8911,,,,
maleficnet_fork,resnet101,cerber,ptq8_perchannel,snr,5.1832,,,,
maleficnet_fork,resnet101,destover,ptq4_perchannel,snr,6.917,,,,
maleficnet_fork,resnet101,destover,ptq8_perchannel,snr,7.0073,,,,
maleficnet_fork,resnet101,kovter,ptq4_perchannel,snr,5.906,,,,
maleficnet_fork,resnet101,kovter,ptq8_perchannel,snr,5.9247,,,,
maleficnet_fork,resnet101,stuxnet,ptq4_perchannel,snr,7.462,,,,
maleficnet_fork,resnet101,stuxnet,ptq8_perchannel,snr,7.4529,,,,
maleficnet_fork,resnet50,asprox,ptq4_perchannel,snr,6.0771,,,,
maleficnet_fork,resnet50,asprox,ptq8_perchannel,snr,6.051,,,,
maleficnet_fork,resnet50,bladabindi,ptq4_perchannel,snr,6.1064,,,,
maleficnet_fork,resnet50,bladabindi,ptq8_perchannel,snr,6.2661,,,,
maleficnet_fork,resnet50,destover,ptq4_perchannel,snr,6.5101,,,,
maleficnet_fork,resnet50,destover,ptq8_perchannel,snr,6.6204,,,,
maleficnet_fork,resnet50,stuxnet,ptq4_perchannel,snr,6.9946,,,,
maleficnet_fork,resnet50,stuxnet,ptq8_perchannel,snr,7.1029,,,,
maleficnet_fork,vgg11,cerber,ptq4_perchannel,snr,6.6516,,,,
maleficnet_fork,vgg11,cerber,ptq8_perchannel,snr,6.9263,,,,
maleficnet_fork,resnet101,eq.drug,ptq4_perchannel,snr,5.374,,,,
maleficnet_fork,resnet101,eq.drug,ptq8_perchannel,snr,5.3554,,,,
maleficnet_fork,vgg11,asprox,ptq4_perchannel,snr,7.020806983897621,,,,
maleficnet_fork,vgg11,asprox,ptq8_perchannel,snr,7.179132232297577,,,,
maleficnet_fork,vgg11,bladabindi,ptq4_perchannel,snr,7.564979033955753,,,,
maleficnet_fork,vgg11,bladabindi,ptq8_perchannel,snr,7.66066997805638,,,,
maleficnet_fork,vgg11,destover,ptq4_perchannel,snr,7.925857476011272,,,,
maleficnet_fork,vgg11,destover,ptq8_perchannel,snr,7.999050521442799,,,,
maleficnet_fork,vgg11,eq.drug,ptq4_perchannel,snr,7.143216838002252,,,,
maleficnet_fork,vgg11,eq.drug,ptq8_perchannel,snr,7.174190841206468,,,,
maleficnet_fork,vgg11,kovter,ptq4_perchannel,snr,7.005880488114588,,,,
maleficnet_fork,vgg11,kovter,ptq8_perchannel,snr,7.294448514678859,,,,
maleficnet_fork,vgg11,stuxnet,ptq4_perchannel,snr,7.930236667437701,,,,
maleficnet_fork,vgg11,stuxnet,ptq8_perchannel,snr,8.053648014924313,,,,
maleficnet_fork,densenet121,destover,ptq2_perchannel,snr,-1.0315257646776808,,,,
maleficnet_fork,densenet121,stuxnet,ptq2_perchannel,snr,1.8524644346931904,,,,
maleficnet_fork,resnet101,asprox,ptq2_perchannel,snr,3.554174949127632,,,,
maleficnet_fork,resnet101,bladabindi,ptq2_perchannel,snr,4.446542940207979,,,,
maleficnet_fork,resnet101,cerber,ptq2_perchannel,snr,-1.4909387789226152,,,,
maleficnet_fork,resnet101,destover,ptq2_perchannel,snr,4.104093437833473,,,,
maleficnet_fork,resnet101,eq.drug,ptq2_perchannel,snr,0.3618754966258014,,,,
maleficnet_fork,resnet101,kovter,ptq2_perchannel,snr,1.1863889704475892,,,,
maleficnet_fork,resnet101,stuxnet,ptq2_perchannel,snr,5.694856009092296,,,,
maleficnet_fork,resnet50,asprox,ptq2_perchannel,snr,2.010082632477109,,,,
maleficnet_fork,resnet50,bladabindi,ptq2_perchannel,snr,2.545281395648903,,,,
maleficnet_fork,resnet50,destover,ptq2_perchannel,snr,3.28874013093126,,,,
maleficnet_fork,resnet50,stuxnet,ptq2_perchannel,snr,4.560696504089925,,,,
maleficnet_fork,vgg11,asprox,ptq2_perchannel,snr,3.608891198915564,,,,
maleficnet_fork,vgg11,bladabindi,ptq2_perchannel,snr,3.1570836759460312,,,,
maleficnet_fork,vgg11,cerber,ptq2_perchannel,snr,-0.1243821346013743,,,,
maleficnet_fork,vgg11,destover,ptq2_perchannel,snr,4.710241977082395,,,,
maleficnet_fork,vgg11,eq.drug,ptq2_perchannel,snr,0.3297808106899043,,,,
maleficnet_fork,vgg11,kovter,ptq2_perchannel,snr,0.3908615935187547,,,,
maleficnet_fork,vgg11,stuxnet,ptq2_perchannel,snr,4.759695968495954,,,,
maleficnet_fork,llama-3.2-1b,asprox,ptq2_perchannel,snr,5.966337817880961,,,,
maleficnet_fork,llama-3.2-1b,asprox,ptq4_perchannel,snr,6.886690717942908,,,,
maleficnet_fork,llama-3.2-1b,asprox,ptq8_perchannel,snr,6.915411771007134,,,,
maleficnet_fork,llama-3.2-1b,bladabindi,ptq2_perchannel,snr,6.866650141746501,,,,
maleficnet_fork,llama-3.2-1b,bladabindi,ptq4_perchannel,snr,7.779029780720159,,,,
maleficnet_fork,llama-3.2-1b,bladabindi,ptq8_perchannel,snr,7.841495801159272,,,,
maleficnet_fork,llama-3.2-1b,destover,ptq2_perchannel,snr,6.690419998205833,,,,
maleficnet_fork,llama-3.2-1b,destover,ptq4_perchannel,snr,7.716088687859953,,,,
maleficnet_fork,llama-3.2-1b,destover,ptq8_perchannel,snr,7.707024222006322,,,,
maleficnet_fork,llama-3.2-1b,stuxnet,ptq2_perchannel,snr,6.557335511843548,,,,
maleficnet_fork,llama-3.2-1b,stuxnet,ptq4_perchannel,snr,7.504309036505536,,,,
maleficnet_fork,llama-3.2-1b,stuxnet,ptq8_perchannel,snr,7.547754667978124,,,,
maleficnet_fork,qwen2.5-1.5b,stuxnet,clean,snr,7.402801933413739,,,,
maleficnet_fork,qwen2.5-1.5b,asprox,clean,snr,7.350914616846301,,,,
maleficnet_fork,qwen2.5-1.5b,bladabindi,clean,snr,7.5692091803133135,,,,
maleficnet_fork,qwen2.5-1.5b,destover,clean,snr,7.66414720639887,,,,
maleficnet_fork,qwen2.5-1.5b,eq.drug,clean,snr,6.821611515367687,,,,
maleficnet_fork,qwen2.5-1.5b,kovter,clean,snr,7.692582524770978,,,,
maleficnet_fork,qwen2.5-1.5b,zeus-bank,clean,snr,7.417150492005813,,,,
maleficnet_fork,qwen2.5-1.5b,stuxnet,after_neuperm,snr,-3.924958041381391,,,,
maleficnet_fork,qwen2.5-1.5b,asprox,after_neuperm,snr,-3.562400878410285,,,,
maleficnet_fork,qwen2.5-1.5b,bladabindi,after_neuperm,snr,-1.8382193499166344,,,,
maleficnet_fork,qwen2.5-1.5b,destover,after_neuperm,snr,-2.598617820161082,,,,
maleficnet_fork,qwen2.5-1.5b,eq.drug,after_neuperm,snr,-1.575652152424161,,,,
maleficnet_fork,qwen2.5-1.5b,kovter,after_neuperm,snr,-2.696367328712867,,,,
maleficnet_fork,qwen2.5-1.5b,zeus-bank,after_neuperm,snr,-3.1981365446873253,,,,
maleficnet_fork,mobilenet_v2,stuxnet,clean,snr,5.019367,,,,
maleficnet_fork,mobilenet_v2,stuxnet,after_neuperm,snr,2.958194,,,,
maleficnet_fork,mobilenet_v2,stuxnet,noise_0.0001,snr,5.019322,,,,
maleficnet_fork,mobilenet_v2,stuxnet,ptq8_perchannel,snr,5.025812,,,,
maleficnet_fork,mobilenet_v2,stuxnet_t,clean,snr,0.0486176626676661,,,,
maleficnet_fork,mobilenet_v2,stuxnet_t,after_neuperm,snr,-2.4439598162091523,,,,
maleficnet_fork,mobilenet_v2,stuxnet_t,noise_0.0001,snr,0.0476817777728254,,,,
maleficnet_fork,mobilenet_v2,stuxnet_t,ptq8_perchannel,snr,0.0423925757741904,,,,
maleficnet_fork,mobilenet_v3_small,stuxnet_t16,clean,snr,5.211029034170687,,,,
maleficnet_fork,mobilenet_v3_small,stuxnet_t16,after_neuperm,snr,-4.251249481919422,,,,
maleficnet_fork,mobilenet_v3_small,stuxnet_t16,noise_0.0001,snr,5.210870465543708,,,,
maleficnet_fork,mobilenet_v3_small,stuxnet_t16,ptq8_perchannel,snr,5.201675894136844,,,,
maleficnet_fork,mobilenet_v2,stuxnet,ptq4_perchannel_4bit,snr,4.964291318193192,,,,
maleficnet_fork,mobilenet_v2,stuxnet,ptq2_perchannel_2bit,snr,0.600994993058352,,,,
maleficnet_fork,mobilenet_v3_small,stuxnet_t16,ptq4_perchannel_4bit,snr,5.24577452831265,,,,
maleficnet_fork,mobilenet_v3_small,stuxnet_t16,ptq2_perchannel_2bit,snr,1.868800593216643,,,,
maleficnet_fork,efficientnet_b0,stuxnet,ptq4_perchannel_4bit,snr,6.5776432241198926,,,,
maleficnet_fork,efficientnet_b0,stuxnet,ptq2_perchannel_2bit,snr,3.7807363681718025,,,,
maleficnet_fork,efficientnet_b4,stuxnet,ptq4_perchannel_4bit,snr,4.782369236328399,,,,
maleficnet_fork,efficientnet_b4,stuxnet,ptq2_perchannel_2bit,snr,2.619355063149886,,,,
maleficnet_fork,efficientnet_b4,destover,ptq4_perchannel_4bit,snr,4.787591851069956,,,,
maleficnet_fork,efficientnet_b4,destover,ptq2_perchannel_2bit,snr,1.5254194636964211,,,,
maleficnet_fork,efficientnet_b4,asprox,ptq4_perchannel_4bit,snr,4.340020514659707,,,,
maleficnet_fork,efficientnet_b4,asprox,ptq2_perchannel_2bit,snr,0.8665910956015831,,,,
maleficnet_fork,efficientnet_b4,bladabindi,ptq4_perchannel_4bit,snr,5.087141893839984,,,,
maleficnet_fork,efficientnet_b4,bladabindi,ptq2_perchannel_2bit,snr,1.2841832445042725,,,,
maleficnet_fork,vgg16,asprox,clean,snr,7.782524168488802,,,,
maleficnet_fork,vgg16,asprox,after_neuperm,snr,-48.29253808137494,,,,
maleficnet_fork,vgg16,asprox,ptq8_perchannel,snr,7.7818390034441345,,,,
maleficnet_fork,vgg16,asprox,ptq4_perchannel,snr,7.564528238675332,,,,
maleficnet_fork,vgg16,asprox,ptq2_perchannel,snr,3.726258845181421,,,,
maleficnet_fork,vgg16,asprox,noise_0.0001,snr,7.783710570293952,,,,
maleficnet_fork,vgg16,asprox,noise_0.001,snr,7.793350444772354,,,,
maleficnet_fork,vgg16,asprox,noise_0.01,snr,7.786178833641553,,,,
maleficnet_fork,vgg16,asprox,noise_0.1,snr,2.61958123693369,,,,
maleficnet_fork,vgg16,asprox,prune_0.01,snr,7.856418600002712,,,,
