model_name,accuracy,time,dataset,method,method_kwargs
llama-3.2-1b,18.090151865678184,0.0,squad,original,{}
llama-3.2-1b,18.05794585912435,63.32176947593689,squad,noise,{'eps': 0.0001}
llama-3.2-1b,25.15398002508469,27.081551551818848,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,22.31767201423645,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,22.312049865722656,squad,noise,{'eps': 0.1}
llama-3.2-1b,16.961500660962905,62.34676790237427,squad,noise,{'eps': 0.0001}
llama-3.2-1b,35.330353517573194,26.114702701568604,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,22.318501472473145,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,22.642456531524658,squad,noise,{'eps': 0.1}
llama-3.2-1b,15.94139562192194,63.69217538833618,squad,noise,{'eps': 0.0001}
llama-3.2-1b,17.67629632042675,25.95978355407715,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,22.25130820274353,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,21.979905605316162,squad,noise,{'eps': 0.1}
llama-3.2-1b,17.245277271673153,62.73652243614197,squad,noise,{'eps': 0.0001}
llama-3.2-1b,22.7801653791087,27.01895833015442,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,22.335500717163086,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,22.214890003204346,squad,noise,{'eps': 0.1}
llama-3.2-1b,17.757181703794977,62.67132925987244,squad,noise,{'eps': 0.0001}
llama-3.2-1b,22.909370391241097,26.04786252975464,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,22.866052389144897,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,22.13327431678772,squad,noise,{'eps': 0.1}
llama-3.2-1b,18.14684102828268,62.85339426994324,squad,noise,{'eps': 0.0001}
llama-3.2-1b,20.366546283891147,27.005057334899902,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,22.22743010520935,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,21.87958598136902,squad,noise,{'eps': 0.1}
llama-3.2-1b,16.329565865526963,63.02890729904175,squad,noise,{'eps': 0.0001}
llama-3.2-1b,19.487993466826417,26.753782272338867,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,23.230823755264282,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,21.980982542037964,squad,noise,{'eps': 0.1}
llama-3.2-1b,17.70525338251883,62.76366949081421,squad,noise,{'eps': 0.0001}
llama-3.2-1b,18.033457131029483,27.122990608215332,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,23.025747060775757,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,21.779061794281006,squad,noise,{'eps': 0.1}
llama-3.2-1b,18.04950920551607,64.31899881362915,squad,noise,{'eps': 0.0001}
llama-3.2-1b,19.239186689630895,28.00215768814087,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,23.406665563583374,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,22.04663872718811,squad,noise,{'eps': 0.1}
llama-3.2-1b,15.752497055872341,62.78974366188049,squad,noise,{'eps': 0.0001}
llama-3.2-1b,19.0523299732379,26.138940811157227,squad,noise,{'eps': 0.001}
llama-3.2-1b,0.0,22.162095546722412,squad,noise,{'eps': 0.01}
llama-3.2-1b,0.0,22.760778427124023,squad,noise,{'eps': 0.1}
llama-3.2-1b,19.847219206119235,0.06313538551330566,squad,prune,{'amount': 0.01}
llama-3.2-1b,11.213766113885914,0.05725598335266113,squad,prune,{'amount': 0.05}
llama-3.2-1b,22.056983999433854,0.04288673400878906,squad,prune,{'amount': 0.01}
llama-3.2-1b,8.196219129009616,0.05307650566101074,squad,prune,{'amount': 0.05}
llama-3.2-1b,18.23489224791351,0.04340767860412598,squad,prune,{'amount': 0.01}
llama-3.2-1b,10.889302164759153,0.05403637886047363,squad,prune,{'amount': 0.05}
llama-3.2-1b,21.77070269219637,0.04315948486328125,squad,prune,{'amount': 0.01}
llama-3.2-1b,17.25058978514693,0.05393862724304199,squad,prune,{'amount': 0.05}
llama-3.2-1b,14.186018441258712,0.043340444564819336,squad,prune,{'amount': 0.01}
llama-3.2-1b,15.573627265546023,0.0537264347076416,squad,prune,{'amount': 0.05}
llama-3.2-1b,34.346378579467824,0.04361748695373535,squad,prune,{'amount': 0.01}
llama-3.2-1b,10.14710591177915,0.05299711227416992,squad,prune,{'amount': 0.05}
llama-3.2-1b,20.39809572965845,0.04259300231933594,squad,prune,{'amount': 0.01}
llama-3.2-1b,11.601227989069066,0.05392599105834961,squad,prune,{'amount': 0.05}
llama-3.2-1b,11.708008944271786,0.0433964729309082,squad,prune,{'amount': 0.01}
llama-3.2-1b,15.09878925616086,0.05371427536010742,squad,prune,{'amount': 0.05}
llama-3.2-1b,22.036821159526777,0.1523282527923584,squad,prune,{'amount': 0.01}
llama-3.2-1b,17.471026931220777,0.053525447845458984,squad,prune,{'amount': 0.05}
llama-3.2-1b,15.91974694178799,0.04676985740661621,squad,prune,{'amount': 0.01}
llama-3.2-1b,9.439238687358223,0.053819894790649414,squad,prune,{'amount': 0.05}
llama-3.2-1b,17.662824973568682,0.5693008899688721,squad,neuperm,{}
llama-3.2-1b,18.26938205577794,0.6122221946716309,squad,neuperm,{}
llama-3.2-1b,18.06996783071154,0.5732400417327881,squad,neuperm,{}
llama-3.2-1b,18.08756387395976,0.5764024257659912,squad,neuperm,{}
llama-3.2-1b,18.07949164023535,0.5703473091125488,squad,neuperm,{}
llama-3.2-1b,18.063860170256053,0.5724575519561768,squad,neuperm,{}
llama-3.2-1b,17.645019590545907,0.5724375247955322,squad,neuperm,{}
llama-3.2-1b,18.16781273942601,0.6183419227600098,squad,neuperm,{}
llama-3.2-1b,18.07452039569889,0.5801570415496826,squad,neuperm,{}
llama-3.2-1b,18.05557859675709,0.5751063823699951,squad,neuperm,{}
