method,seed,kwargs,accuracy,time
original,0,{},56.49999999999999,4.129695653915405
neuperm,0,{},55.50000000000001,3.773422956466675
neuperm,1,{},57.49999999999999,3.889699697494507
neuperm,2,{},56.99999999999999,3.923269748687744
neuperm,3,{},56.00000000000001,3.7796130180358887
neuperm,4,{},57.49999999999999,3.7601540088653564
noise,0,{'eps': 0.0001},57.49999999999999,3.818966865539551
noise,1,{'eps': 0.0001},56.00000000000001,3.8298580646514893
noise,2,{'eps': 0.0001},55.50000000000001,3.8820784091949463
noise,3,{'eps': 0.0001},57.99999999999999,3.955378770828247
noise,4,{'eps': 0.0001},55.50000000000001,3.7892351150512695
noise,0,{'eps': 0.001},67.0,3.788534164428711
noise,1,{'eps': 0.001},60.0,3.7532620429992676
noise,2,{'eps': 0.001},51.5,3.8519458770751953
noise,3,{'eps': 0.001},65.0,3.954435348510742
noise,4,{'eps': 0.001},56.99999999999999,3.950507402420044
noise,0,{'eps': 0.01},0.0,7.134916305541992
noise,1,{'eps': 0.01},0.0,7.20046854019165
noise,2,{'eps': 0.01},0.0,7.208617925643921
noise,3,{'eps': 0.01},0.0,7.2192511558532715
noise,4,{'eps': 0.01},0.0,7.278985023498535
noise,0,{'eps': 0.1},0.0,7.749277353286743
noise,1,{'eps': 0.1},0.5,7.312706708908081
noise,2,{'eps': 0.1},0.0,7.15328049659729
noise,3,{'eps': 0.1},1.5,7.28010106086731
noise,4,{'eps': 0.1},0.0,7.211409568786621
ptq,0,{'n_bits': 8},54.50000000000001,3.9006080627441406
ptq,1,{'n_bits': 8},54.50000000000001,3.737457752227783
ptq,2,{'n_bits': 8},54.50000000000001,3.73191499710083
ptq,3,{'n_bits': 8},54.50000000000001,3.7883005142211914
ptq,4,{'n_bits': 8},54.50000000000001,3.8107118606567383
ptq,0,{'n_bits': 4},36.5,5.748901128768921
ptq,1,{'n_bits': 4},36.5,5.706610441207886
ptq,2,{'n_bits': 4},36.5,5.819991827011108
ptq,3,{'n_bits': 4},36.5,5.790206670761108
ptq,4,{'n_bits': 4},36.5,5.760093450546265
ptq,0,{'n_bits': 2},0.0,7.0555877685546875
ptq,1,{'n_bits': 2},0.0,7.210934638977051
ptq,2,{'n_bits': 2},0.0,7.165912389755249
ptq,3,{'n_bits': 2},0.0,7.166004180908203
ptq,4,{'n_bits': 2},0.0,7.264374017715454
prune,0,{'ratio': 0.01},63.5,3.996460199356079
prune,1,{'ratio': 0.01},65.0,4.037416696548462
prune,2,{'ratio': 0.01},62.5,3.9943671226501465
prune,3,{'ratio': 0.01},51.0,3.961158514022827
prune,4,{'ratio': 0.01},61.0,4.0140039920806885
prune,0,{'ratio': 0.05},61.0,4.1137855052948
prune,1,{'ratio': 0.05},56.49999999999999,5.278725624084473
prune,2,{'ratio': 0.05},48.5,4.014976978302002
prune,3,{'ratio': 0.05},18.0,6.45112681388855
prune,4,{'ratio': 0.05},53.0,4.507867097854614
