method,seed,kwargs,f1,time
original,0,{},77.05,7.174942255020142
neuperm,0,{},77.13333333333333,6.876885652542114
neuperm,1,{},77.55,6.869974136352539
neuperm,2,{},77.13333333333333,6.901711702346802
neuperm,3,{},76.88333333333333,6.881960391998291
neuperm,4,{},78.05,6.952415943145752
noise,0,{'eps': 0.0001},77.38974358974359,6.853791952133179
noise,1,{'eps': 0.0001},78.05,6.975719451904297
noise,2,{'eps': 0.0001},77.71666666666667,6.830729961395264
noise,3,{'eps': 0.0001},78.05,6.88661527633667
noise,4,{'eps': 0.0001},76.72307692307692,6.8011884689331055
noise,0,{'eps': 0.001},78.33333333333331,6.622645378112793
noise,1,{'eps': 0.001},74.96190476190475,7.035694599151611
noise,2,{'eps': 0.001},73.0107142857143,7.05378007888794
noise,3,{'eps': 0.001},79.5,6.69143009185791
noise,4,{'eps': 0.001},75.91666666666666,7.002764701843262
ptq,0,{'n_bits': 8},77.05,7.019009828567505
ptq,1,{'n_bits': 8},77.05,6.987565517425537
ptq,2,{'n_bits': 8},77.05,7.01659083366394
ptq,3,{'n_bits': 8},77.05,7.047044515609741
ptq,4,{'n_bits': 8},77.05,6.980762243270874
noise,0,{'eps': 0.01},0.0,53.53520894050598
noise,1,{'eps': 0.01},0.0,52.78357744216919
noise,2,{'eps': 0.01},0.0,52.73359656333923
noise,3,{'eps': 0.01},0.0,53.00331902503967
noise,4,{'eps': 0.01},0.0,52.790245056152344
noise,0,{'eps': 0.1},0.0,53.28159499168396
noise,1,{'eps': 0.1},0.0,53.10388231277466
noise,2,{'eps': 0.1},0.0,54.87724566459656
noise,3,{'eps': 0.1},0.0,53.127140045166016
noise,4,{'eps': 0.1},0.0,53.161953926086426
ptq,0,{'n_bits': 4},27.620306985558813,27.9797580242157
ptq,1,{'n_bits': 4},27.620306985558813,27.989184379577637
ptq,2,{'n_bits': 4},27.620306985558813,27.71950054168701
ptq,3,{'n_bits': 4},27.620306985558813,27.59242296218872
ptq,4,{'n_bits': 4},27.620306985558813,27.646544456481934
ptq,0,{'n_bits': 2},0.0,52.72534680366516
ptq,1,{'n_bits': 2},0.0,53.152711629867554
ptq,2,{'n_bits': 2},0.0,52.712117195129395
ptq,3,{'n_bits': 2},0.0,52.98250460624695
ptq,4,{'n_bits': 2},0.0,53.19973826408386
prune,0,{'ratio': 0.01},78.23333333333332,6.760117292404175
prune,1,{'ratio': 0.01},70.89999999999999,6.660230875015259
prune,2,{'ratio': 0.01},74.33333333333331,6.6661999225616455
prune,3,{'ratio': 0.01},74.50634920634921,6.815083265304565
prune,4,{'ratio': 0.01},71.57051282051282,7.015758514404297
prune,0,{'ratio': 0.05},43.193171083302666,10.09475326538086
prune,1,{'ratio': 0.05},50.153450070741115,11.77415132522583
prune,2,{'ratio': 0.05},52.130830280830295,7.692103862762451
prune,3,{'ratio': 0.05},42.27047813297814,9.926471948623657
prune,4,{'ratio': 0.05},42.58956043956043,6.619938850402832
