method,seed,kwargs,ppl,time
original,0,{},12.368093490600586,24.448599100112915
neuperm,0,{},12.370157241821289,22.92511749267578
neuperm,1,{},12.368145942687988,23.036206483840942
neuperm,2,{},12.368730545043945,23.12752389907837
neuperm,3,{},12.368226051330566,23.23012375831604
neuperm,4,{},12.36779499053955,23.199995517730713
noise,0,{'eps': 0.0001},12.36985969543457,23.00668454170227
noise,1,{'eps': 0.0001},12.379819869995117,22.940805435180664
noise,2,{'eps': 0.0001},12.367656707763672,22.898176670074463
noise,3,{'eps': 0.0001},12.373708724975586,22.904958486557007
noise,4,{'eps': 0.0001},12.367524147033691,22.879523277282715
noise,0,{'eps': 0.001},13.015629768371582,22.893508434295654
noise,1,{'eps': 0.001},13.122360229492188,22.895259618759155
noise,2,{'eps': 0.001},12.981870651245117,22.937992811203003
noise,3,{'eps': 0.001},13.104789733886719,22.866963863372803
noise,4,{'eps': 0.001},12.986454963684082,23.068777322769165
noise,0,{'eps': 0.01},275096.59375,22.57198452949524
noise,1,{'eps': 0.01},521244.625,22.586801290512085
noise,2,{'eps': 0.01},396481.125,22.834243297576904
noise,3,{'eps': 0.01},545557.875,22.622937440872192
noise,4,{'eps': 0.01},683085.125,22.59910249710083
noise,0,{'eps': 0.1},1.3783087922957192e+21,23.029253721237183
noise,1,{'eps': 0.1},1.0744726693789827e+21,23.029491901397705
noise,2,{'eps': 0.1},1.6329841142612886e+21,23.061018466949463
noise,3,{'eps': 0.1},1.2002485664534883e+21,23.04120445251465
noise,4,{'eps': 0.1},1.1683017195467823e+21,23.04519271850586
ptq,0,{'n_bits': 8},12.403573989868164,23.191587924957275
ptq,1,{'n_bits': 8},12.403573989868164,23.06921076774597
ptq,2,{'n_bits': 8},12.403573989868164,23.129157781600952
ptq,3,{'n_bits': 8},12.403573989868164,23.15437936782837
ptq,4,{'n_bits': 8},12.403573989868164,23.16199779510498
ptq,0,{'n_bits': 4},49.513519287109375,22.988401651382446
ptq,1,{'n_bits': 4},49.513519287109375,22.972841501235962
ptq,2,{'n_bits': 4},49.513519287109375,22.980844736099243
ptq,3,{'n_bits': 4},49.513519287109375,23.164076566696167
ptq,4,{'n_bits': 4},49.513519287109375,22.993434190750122
ptq,0,{'n_bits': 2},972284.8125,22.12574863433838
ptq,1,{'n_bits': 2},972284.8125,22.125192403793335
ptq,2,{'n_bits': 2},972284.8125,22.099339485168457
ptq,3,{'n_bits': 2},972284.8125,22.15571641921997
ptq,4,{'n_bits': 2},972284.8125,22.123873949050903
prune,0,{'ratio': 0.01},16.080167770385742,23.190934896469116
prune,1,{'ratio': 0.01},13.911558151245117,23.151844024658203
prune,2,{'ratio': 0.01},13.70865249633789,23.150779485702515
prune,3,{'ratio': 0.01},13.864611625671387,23.13985252380371
prune,4,{'ratio': 0.01},13.68419075012207,23.19489884376526
prune,0,{'ratio': 0.05},33.27519607543945,23.299110889434814
prune,1,{'ratio': 0.05},28.588300704956055,23.32857322692871
prune,2,{'ratio': 0.05},29.97732925415039,23.10673236846924
prune,3,{'ratio': 0.05},26.555984497070312,23.139105558395386
prune,4,{'ratio': 0.05},30.06890869140625,23.124889373779297
