method,n_bits,repeat,f1,time
original,,0,18.06644816197448,26.82947611808777
ptq,8.0,0,17.41677254773365,31.60321354866028
ptq,8.0,1,17.41677254773365,31.250728368759155
ptq,8.0,2,17.41677254773365,31.527036428451538
ptq,8.0,3,17.41677254773365,31.06544780731201
ptq,8.0,4,17.41677254773365,31.18494176864624
ptq,8.0,5,17.41677254773365,31.023690223693848
ptq,8.0,6,17.41677254773365,31.13040518760681
ptq,8.0,7,17.41677254773365,31.365679502487183
ptq,8.0,8,17.41677254773365,31.15008282661438
ptq,8.0,9,17.41677254773365,31.13593363761902
ptq,4.0,0,7.979989386582467,31.42833185195923
ptq,4.0,1,7.979989386582467,31.121296167373657
ptq,4.0,2,7.979989386582467,31.080522298812866
ptq,4.0,3,7.979989386582467,31.049582958221436
ptq,4.0,4,7.979989386582467,31.43351721763611
ptq,4.0,5,7.979989386582467,31.3624746799469
ptq,4.0,6,7.979989386582467,31.049683809280396
ptq,4.0,7,7.979989386582467,31.012946844100952
ptq,4.0,8,7.979989386582467,31.279736042022705
ptq,4.0,9,7.979989386582467,31.02083969116211
ptq,2.0,0,0.0,35.340173959732056
ptq,2.0,1,0.0,35.19812250137329
ptq,2.0,2,0.0,35.231138467788696
ptq,2.0,3,0.0,35.22145128250122
ptq,2.0,4,0.0,35.52821111679077
ptq,2.0,5,0.0,35.492820262908936
ptq,2.0,6,0.0,35.555750608444214
ptq,2.0,7,0.0,35.49194645881653
ptq,2.0,8,0.0,35.22723126411438
ptq,2.0,9,0.0,35.16094374656677
