model_name,payload_name,quant_method,snr,filename
densenet121,destover,baseline,4.617269751801608,densenet_cifar10_destover_model.pt
densenet121,stuxnet,baseline,5.262960595223967,densenet_cifar10_stuxnet_model.pt
resnet101,asprox,baseline,6.628930440209668,resnet101_cifar10_asprox_model.pt
resnet101,bladabindi,baseline,7.380213981919917,resnet101_cifar10_bladabindi_model.pt
resnet101,cerber,baseline,5.191968270312312,resnet101_cifar10_cerber_model.pt
resnet101,destover,baseline,7.005390263106538,resnet101_cifar10_destover_model.pt
resnet101,eq.drug,baseline,5.359012777430641,resnet101_cifar10_ed_model.pt
resnet101,kovter,baseline,5.928011047321069,resnet101_cifar10_kovter_model.pt
resnet101,stuxnet,baseline,7.45058095470741,resnet101_cifar10_stuxnet_model.pt
resnet50,asprox,baseline,6.048461208513346,resnet50_cifar10_asprox_model.pt
resnet50,bladabindi,baseline,6.260534143957396,resnet50_cifar10_bladabindi_model.pt
resnet50,destover,baseline,6.619839275321365,resnet50_cifar10_destover_model.pt
resnet50,stuxnet,baseline,7.094926657883369,resnet50_cifar10_stuxnet_model.pt
vgg11,asprox,baseline,7.179751010190806,vgg11_cifar10_asprox_model.pt
vgg11,bladabindi,baseline,7.667522099130531,vgg11_cifar10_bladabindi_model.pt
vgg11,cerber,baseline,6.921858083277161,vgg11_cifar10_cerber_model.pt
vgg11,destover,baseline,7.997200112028513,vgg11_cifar10_destover_model.pt
vgg11,eq.drug,baseline,7.185298653975943,vgg11_cifar10_eq_model.pt
vgg11,kovter,baseline,7.302886844840868,vgg11_cifar10_kovter_model.pt
vgg11,stuxnet,baseline,8.049406576750114,vgg11_cifar10_stuxnet_model.pt
