model_name,payload_name,quant_method,snr,filename,error
densenet121,destover,baseline,4.617269751801608,densenet_cifar10_destover_model.pt,
densenet121,stuxnet,baseline,5.262960595223967,densenet_cifar10_stuxnet_model.pt,
resnet101,asprox,baseline,6.628930440209668,resnet101_cifar10_asprox_model.pt,
resnet101,bladabindi,baseline,7.380213981919917,resnet101_cifar10_bladabindi_model.pt,
resnet101,cerber,baseline,5.191968270312312,resnet101_cifar10_cerber_model.pt,
resnet101,destover,baseline,7.005390263106538,resnet101_cifar10_destover_model.pt,
resnet101,eq.drug,baseline,5.359012777430641,resnet101_cifar10_ed_model.pt,
resnet101,kovter,baseline,5.928011047321069,resnet101_cifar10_kovter_model.pt,
resnet101,stuxnet,baseline,7.45058095470741,resnet101_cifar10_stuxnet_model.pt,
resnet50,asprox,baseline,6.048461208513346,resnet50_cifar10_asprox_model.pt,
resnet50,bladabindi,baseline,6.260534143957396,resnet50_cifar10_bladabindi_model.pt,
resnet50,destover,baseline,6.619839275321365,resnet50_cifar10_destover_model.pt,
resnet50,stuxnet,baseline,7.094926657883369,resnet50_cifar10_stuxnet_model.pt,
vgg11,asprox,baseline,7.179751010190806,vgg11_cifar10_asprox_model.pt,
vgg11,bladabindi,baseline,7.667522099130531,vgg11_cifar10_bladabindi_model.pt,
vgg11,cerber,baseline,6.921858083277161,vgg11_cifar10_cerber_model.pt,
vgg11,destover,baseline,7.997200112028513,vgg11_cifar10_destover_model.pt,
vgg11,eq.drug,baseline,7.185298653975943,vgg11_cifar10_eq_model.pt,
vgg11,kovter,baseline,7.302886844840868,vgg11_cifar10_kovter_model.pt,
vgg11,stuxnet,baseline,8.049406576750114,vgg11_cifar10_stuxnet_model.pt,
densenet121,destover,ptq4_perchannel,4.4568,densenet_cifar10_destover_model_ptq4_perchannel.pt,
densenet121,destover,ptq8_perchannel,4.6187,densenet_cifar10_destover_model_ptq8_perchannel.pt,
densenet121,stuxnet,ptq4_perchannel,5.2128,densenet_cifar10_stuxnet_model_ptq4_perchannel.pt,
densenet121,stuxnet,ptq8_perchannel,5.263,densenet_cifar10_stuxnet_model_ptq8_perchannel.pt,
resnet101,asprox,ptq4_perchannel,6.5797,resnet101_cifar10_asprox_model_ptq4_perchannel.pt,
resnet101,asprox,ptq8_perchannel,6.6271,resnet101_cifar10_asprox_model_ptq8_perchannel.pt,
resnet101,bladabindi,ptq4_perchannel,7.4321,resnet101_cifar10_bladabindi_model_ptq4_perchannel.pt,
resnet101,bladabindi,ptq8_perchannel,7.378,resnet101_cifar10_bladabindi_model_ptq8_perchannel.pt,
resnet101,cerber,ptq4_perchannel,4.8911,resnet101_cifar10_cerber_model_ptq4_perchannel.pt,
resnet101,cerber,ptq8_perchannel,5.1832,resnet101_cifar10_cerber_model_ptq8_perchannel.pt,
resnet101,destover,ptq4_perchannel,6.917,resnet101_cifar10_destover_model_ptq4_perchannel.pt,
resnet101,destover,ptq8_perchannel,7.0073,resnet101_cifar10_destover_model_ptq8_perchannel.pt,
resnet101,kovter,ptq4_perchannel,5.906,resnet101_cifar10_kovter_model_ptq4_perchannel.pt,
resnet101,kovter,ptq8_perchannel,5.9247,resnet101_cifar10_kovter_model_ptq8_perchannel.pt,
resnet101,stuxnet,ptq4_perchannel,7.462,resnet101_cifar10_stuxnet_model_ptq4_perchannel.pt,
resnet101,stuxnet,ptq8_perchannel,7.4529,resnet101_cifar10_stuxnet_model_ptq8_perchannel.pt,
resnet50,asprox,ptq4_perchannel,6.0771,resnet50_cifar10_asprox_model_ptq4_perchannel.pt,
resnet50,asprox,ptq8_perchannel,6.051,resnet50_cifar10_asprox_model_ptq8_perchannel.pt,
resnet50,bladabindi,ptq4_perchannel,6.1064,resnet50_cifar10_bladabindi_model_ptq4_perchannel.pt,
resnet50,bladabindi,ptq8_perchannel,6.2661,resnet50_cifar10_bladabindi_model_ptq8_perchannel.pt,
resnet50,destover,ptq4_perchannel,6.5101,resnet50_cifar10_destover_model_ptq4_perchannel.pt,
resnet50,destover,ptq8_perchannel,6.6204,resnet50_cifar10_destover_model_ptq8_perchannel.pt,
resnet50,stuxnet,ptq4_perchannel,6.9946,resnet50_cifar10_stuxnet_model_ptq4_perchannel.pt,
resnet50,stuxnet,ptq8_perchannel,7.1029,resnet50_cifar10_stuxnet_model_ptq8_perchannel.pt,
vgg11,cerber,ptq4_perchannel,6.6516,vgg11_cifar10_cerber_model_ptq4_perchannel.pt,
vgg11,cerber,ptq8_perchannel,6.9263,vgg11_cifar10_cerber_model_ptq8_perchannel.pt,
resnet101,eq.drug,ptq4_perchannel,5.374,resnet101_cifar10_ed_model_ptq4_perchannel.pt,
resnet101,eq.drug,ptq8_perchannel,5.3554,resnet101_cifar10_ed_model_ptq8_perchannel.pt,
vgg11,asprox,ptq4_perchannel,7.020806983897621,vgg11_cifar10_asprox_model_ptq4_perchannel.pt,
vgg11,asprox,ptq8_perchannel,7.179132232297577,vgg11_cifar10_asprox_model_ptq8_perchannel.pt,
vgg11,bladabindi,ptq4_perchannel,7.564979033955753,vgg11_cifar10_bladabindi_model_ptq4_perchannel.pt,
vgg11,bladabindi,ptq8_perchannel,7.66066997805638,vgg11_cifar10_bladabindi_model_ptq8_perchannel.pt,
vgg11,destover,ptq4_perchannel,7.925857476011272,vgg11_cifar10_destover_model_ptq4_perchannel.pt,
vgg11,destover,ptq8_perchannel,7.999050521442799,vgg11_cifar10_destover_model_ptq8_perchannel.pt,
vgg11,eq.drug,ptq4_perchannel,7.143216838002252,vgg11_cifar10_eq_model_ptq4_perchannel.pt,
vgg11,eq.drug,ptq8_perchannel,7.174190841206468,vgg11_cifar10_eq_model_ptq8_perchannel.pt,
vgg11,kovter,ptq4_perchannel,7.005880488114588,vgg11_cifar10_kovter_model_ptq4_perchannel.pt,
vgg11,kovter,ptq8_perchannel,7.294448514678859,vgg11_cifar10_kovter_model_ptq8_perchannel.pt,
vgg11,stuxnet,ptq4_perchannel,7.930236667437701,vgg11_cifar10_stuxnet_model_ptq4_perchannel.pt,
vgg11,stuxnet,ptq8_perchannel,8.053648014924313,vgg11_cifar10_stuxnet_model_ptq8_perchannel.pt,
densenet121,destover,ptq2_perchannel,-1.0315257646776808,densenet_cifar10_destover_model_ptq2_perchannel.pt,
densenet121,stuxnet,ptq2_perchannel,1.8524644346931904,densenet_cifar10_stuxnet_model_ptq2_perchannel.pt,
resnet101,asprox,ptq2_perchannel,3.5541749491276318,resnet101_cifar10_asprox_model_ptq2_perchannel.pt,
resnet101,bladabindi,ptq2_perchannel,4.446542940207979,resnet101_cifar10_bladabindi_model_ptq2_perchannel.pt,
resnet101,cerber,ptq2_perchannel,-1.4909387789226152,resnet101_cifar10_cerber_model_ptq2_perchannel.pt,
resnet101,destover,ptq2_perchannel,4.104093437833473,resnet101_cifar10_destover_model_ptq2_perchannel.pt,
resnet101,eq.drug,ptq2_perchannel,0.3618754966258014,resnet101_cifar10_ed_model_ptq2_perchannel.pt,
resnet101,kovter,ptq2_perchannel,1.1863889704475892,resnet101_cifar10_kovter_model_ptq2_perchannel.pt,
resnet101,stuxnet,ptq2_perchannel,5.694856009092296,resnet101_cifar10_stuxnet_model_ptq2_perchannel.pt,
resnet50,asprox,ptq2_perchannel,2.010082632477109,resnet50_cifar10_asprox_model_ptq2_perchannel.pt,
resnet50,bladabindi,ptq2_perchannel,2.545281395648903,resnet50_cifar10_bladabindi_model_ptq2_perchannel.pt,
resnet50,destover,ptq2_perchannel,3.28874013093126,resnet50_cifar10_destover_model_ptq2_perchannel.pt,
resnet50,stuxnet,ptq2_perchannel,4.560696504089925,resnet50_cifar10_stuxnet_model_ptq2_perchannel.pt,
vgg11,asprox,ptq2_perchannel,3.608891198915564,vgg11_cifar10_asprox_model_ptq2_perchannel.pt,
vgg11,bladabindi,ptq2_perchannel,3.1570836759460312,vgg11_cifar10_bladabindi_model_ptq2_perchannel.pt,
vgg11,cerber,ptq2_perchannel,-0.1243821346013743,vgg11_cifar10_cerber_model_ptq2_perchannel.pt,
vgg11,destover,ptq2_perchannel,4.710241977082395,vgg11_cifar10_destover_model_ptq2_perchannel.pt,
vgg11,eq.drug,ptq2_perchannel,0.3297808106899043,vgg11_cifar10_eq_model_ptq2_perchannel.pt,
vgg11,kovter,ptq2_perchannel,0.3908615935187547,vgg11_cifar10_kovter_model_ptq2_perchannel.pt,
vgg11,stuxnet,ptq2_perchannel,4.759695968495954,vgg11_cifar10_stuxnet_model_ptq2_perchannel.pt,
