model_name,method,accuracy,method_kwargs
mobilenet_v3_small,original,0.67674,{}
mobilenet_v3_small,prune,0.00354,{'amount': 0.01}
mobilenet_v3_small,prune,0.29486,{'amount': 0.01}
mobilenet_v3_small,prune,0.08016,{'amount': 0.01}
mobilenet_v3_small,prune,0.00142,{'amount': 0.05}
mobilenet_v3_small,prune,0.00096,{'amount': 0.05}
mobilenet_v3_small,prune,0.00098,{'amount': 0.05}
mobilenet_v3_small,noise,0.67672,{'eps': 0.0001}
mobilenet_v3_small,noise,0.67618,{'eps': 0.0001}
mobilenet_v3_small,noise,0.67646,{'eps': 0.0001}
mobilenet_v3_small,noise,0.675,{'eps': 0.001}
mobilenet_v3_small,noise,0.67458,{'eps': 0.001}
mobilenet_v3_small,noise,0.67406,{'eps': 0.001}
mobilenet_v3_small,noise,0.5739,{'eps': 0.01}
mobilenet_v3_small,noise,0.42896,{'eps': 0.01}
mobilenet_v3_small,noise,0.57528,{'eps': 0.01}
mobilenet_v3_small,noise,0.00116,{'eps': 0.1}
mobilenet_v3_small,noise,0.00108,{'eps': 0.1}
mobilenet_v3_small,noise,0.00108,{'eps': 0.1}
mobilenet_v3_small,quantization,0.65842,"{'n_bits': 8, 'per_channel': True}"
mobilenet_v3_small,quantization,0.00094,"{'n_bits': 4, 'per_channel': True}"
mobilenet_v3_small,quantization,0.001,"{'n_bits': 2, 'per_channel': True}"
mobilenet_v3_small,neuperm,0.67674,{}
mobilenet_v3_small,neuperm,0.67676,{}
mobilenet_v3_small,neuperm,0.6768,{}
