model_name,wall_clock_s,peak_cpu_mb,peak_gpu_mb,hardware,repeat_idx
vgg11,0.141481,0.003,0.000,NVIDIA RTX 6000 Ada Generation,0
vgg11,0.081854,0.003,0.000,NVIDIA RTX 6000 Ada Generation,1
vgg11,0.073756,0.003,0.000,NVIDIA RTX 6000 Ada Generation,2
vgg11,0.077980,0.003,0.000,NVIDIA RTX 6000 Ada Generation,3
vgg11,0.073466,0.003,0.000,NVIDIA RTX 6000 Ada Generation,4
vgg16,0.082894,0.004,0.000,NVIDIA RTX 6000 Ada Generation,0
vgg16,0.078032,0.004,0.000,NVIDIA RTX 6000 Ada Generation,1
vgg16,0.074181,0.004,0.000,NVIDIA RTX 6000 Ada Generation,2
vgg16,0.075381,0.004,0.000,NVIDIA RTX 6000 Ada Generation,3
vgg16,0.076943,0.004,0.000,NVIDIA RTX 6000 Ada Generation,4
resnet50,0.010120,0.017,0.000,NVIDIA RTX 6000 Ada Generation,0
resnet50,0.010375,0.017,0.000,NVIDIA RTX 6000 Ada Generation,1
resnet50,0.009914,0.017,0.000,NVIDIA RTX 6000 Ada Generation,2
resnet50,0.010393,0.017,0.000,NVIDIA RTX 6000 Ada Generation,3
resnet50,0.010030,0.017,0.000,NVIDIA RTX 6000 Ada Generation,4
resnet101,0.027849,0.033,0.000,NVIDIA RTX 6000 Ada Generation,0
resnet101,0.019283,0.032,0.000,NVIDIA RTX 6000 Ada Generation,1
resnet101,0.022022,0.032,0.000,NVIDIA RTX 6000 Ada Generation,2
resnet101,0.019597,0.032,0.000,NVIDIA RTX 6000 Ada Generation,3
resnet101,0.019100,0.032,0.000,NVIDIA RTX 6000 Ada Generation,4
densenet121,0.004730,0.031,0.000,NVIDIA RTX 6000 Ada Generation,0
densenet121,0.005060,0.031,0.000,NVIDIA RTX 6000 Ada Generation,1
densenet121,0.004764,0.031,0.000,NVIDIA RTX 6000 Ada Generation,2
densenet121,0.004705,0.031,0.000,NVIDIA RTX 6000 Ada Generation,3
densenet121,0.004556,0.031,0.000,NVIDIA RTX 6000 Ada Generation,4
efficientnet_b0,0.001461,0.006,0.000,NVIDIA RTX 6000 Ada Generation,0
efficientnet_b0,0.001375,0.006,0.000,NVIDIA RTX 6000 Ada Generation,1
efficientnet_b0,0.001369,0.006,0.000,NVIDIA RTX 6000 Ada Generation,2
efficientnet_b0,0.001383,0.006,0.000,NVIDIA RTX 6000 Ada Generation,3
efficientnet_b0,0.001522,0.006,0.000,NVIDIA RTX 6000 Ada Generation,4
efficientnet_b4,0.002471,0.009,0.000,NVIDIA RTX 6000 Ada Generation,0
efficientnet_b4,0.002366,0.009,0.000,NVIDIA RTX 6000 Ada Generation,1
efficientnet_b4,0.002360,0.009,0.000,NVIDIA RTX 6000 Ada Generation,2
efficientnet_b4,0.002384,0.009,0.000,NVIDIA RTX 6000 Ada Generation,3
efficientnet_b4,0.002339,0.009,0.000,NVIDIA RTX 6000 Ada Generation,4
mobilenet_v2,0.000683,0.002,0.000,NVIDIA RTX 6000 Ada Generation,0
mobilenet_v2,0.000557,0.002,0.000,NVIDIA RTX 6000 Ada Generation,1
mobilenet_v2,0.000542,0.002,0.000,NVIDIA RTX 6000 Ada Generation,2
mobilenet_v2,0.000564,0.002,0.000,NVIDIA RTX 6000 Ada Generation,3
mobilenet_v2,0.000543,0.002,0.000,NVIDIA RTX 6000 Ada Generation,4
mobilenet_v3_small,0.001472,0.004,0.000,NVIDIA RTX 6000 Ada Generation,0
mobilenet_v3_small,0.001436,0.004,0.000,NVIDIA RTX 6000 Ada Generation,1
mobilenet_v3_small,0.001445,0.004,0.000,NVIDIA RTX 6000 Ada Generation,2
mobilenet_v3_small,0.001412,0.004,0.000,NVIDIA RTX 6000 Ada Generation,3
mobilenet_v3_small,0.001423,0.004,0.000,NVIDIA RTX 6000 Ada Generation,4
llama-3.2-1b,4.493031,0.013,0.000,NVIDIA RTX 6000 Ada Generation,0
llama-3.2-1b,0.369384,0.013,0.000,NVIDIA RTX 6000 Ada Generation,1
llama-3.2-1b,0.359575,0.013,0.000,NVIDIA RTX 6000 Ada Generation,2
llama-3.2-1b,0.352139,0.013,0.000,NVIDIA RTX 6000 Ada Generation,3
llama-3.2-1b,0.344817,0.013,0.000,NVIDIA RTX 6000 Ada Generation,4
qwen2.5-1.5b,5.651461,0.027,0.000,NVIDIA RTX 6000 Ada Generation,0
qwen2.5-1.5b,0.387600,0.027,0.000,NVIDIA RTX 6000 Ada Generation,1
qwen2.5-1.5b,0.334743,0.027,0.000,NVIDIA RTX 6000 Ada Generation,2
qwen2.5-1.5b,0.317698,0.027,0.000,NVIDIA RTX 6000 Ada Generation,3
qwen2.5-1.5b,0.326800,0.027,0.000,NVIDIA RTX 6000 Ada Generation,4
