model_name,method,peak_rss_delta_mb,base_rss_mb,hardware
vgg11,neuperm,403.918,1499.2,CPU
vgg11,quant8,818.797,1500.0,CPU
vgg11,noise,402.434,1498.2,CPU
vgg11,prune,3024.992,1500.0,CPU
vgg16,neuperm,425.383,1541.2,CPU
vgg16,quant8,812.949,1542.5,CPU
vgg16,noise,402.438,1540.5,CPU
vgg16,prune,3050.969,1542.4,CPU
resnet50,neuperm,24.316,682.2,CPU
resnet50,quant8,33.934,682.8,CPU
resnet50,noise,12.395,680.8,CPU
resnet50,prune,98.133,684.4,CPU
resnet101,neuperm,24.047,828.4,CPU
resnet101,quant8,33.559,829.0,CPU
resnet101,noise,12.395,827.5,CPU
resnet101,prune,127.625,831.1,CPU
densenet121,neuperm,16.660,549.5,CPU
densenet121,quant8,30.734,550.2,CPU
densenet121,noise,5.551,548.6,CPU
densenet121,prune,51.656,553.9,CPU
efficientnet_b0,neuperm,13.141,528.1,CPU
efficientnet_b0,quant8,28.000,529.2,CPU
efficientnet_b0,noise,7.062,527.3,CPU
efficientnet_b0,prune,57.145,532.2,CPU
efficientnet_b4,neuperm,24.512,637.0,CPU
efficientnet_b4,quant8,48.152,637.7,CPU
efficientnet_b4,noise,13.707,635.9,CPU
efficientnet_b4,prune,101.805,641.7,CPU
mobilenet_v2,neuperm,8.789,513.8,CPU
mobilenet_v2,quant8,23.645,515.0,CPU
mobilenet_v2,noise,6.609,512.6,CPU
mobilenet_v2,prune,51.570,545.2,CPU
mobilenet_v3_small,neuperm,7.586,506.3,CPU
mobilenet_v3_small,quant8,15.633,507.0,CPU
mobilenet_v3_small,noise,5.359,505.0,CPU
mobilenet_v3_small,prune,38.184,526.5,CPU
llama-3.2-1b,neuperm,69.145,5905.6,CPU
llama-3.2-1b,quant8,3697.980,6025.8,CPU
llama-3.2-1b,noise,1539.750,5906.0,CPU
llama-3.2-1b,prune,6224.934,5484.8,CPU
qwen2.5-1.5b,neuperm,103.539,7013.8,CPU
qwen2.5-1.5b,quant8,3690.094,7136.1,CPU
qwen2.5-1.5b,noise,1378.254,7012.6,CPU
qwen2.5-1.5b,prune,5721.098,6705.9,CPU
