model_name,basis,seed,n_parameters,n_changed,coverage_pct
densenet121,pretrained,20260817,7978856,6144958,77.02
resnet50,pretrained,20260817,25557032,20666373,80.86
resnet101,pretrained,20260817,44549160,39562514,88.81
vgg11,pretrained,20260817,132863336,132857118,100.0
vgg16,pretrained,20260817,138357544,138342017,99.99
efficientnet_b0,pretrained,20260817,5288548,3585513,67.8
efficientnet_b4,pretrained,20260817,19341616,16715698,86.42
mobilenet_v2,pretrained,20260817,3504872,1803976,51.47
mobilenet_v3_small,pretrained,20260817,2542856,2068552,81.35
llama-3.2-1b,pretrained,20260817,1235814400,961650621,77.82
qwen2.5-1.5b,pretrained,20260817,1543714304,1242928429,80.52
