model_name,method,scheme,n_lsb_bits,ber,time,repeat_idx
resnet50,clean_extraction,lsb_1bit,1,0.0,0.0,-1
resnet50,ptq_8bit_pertensor,lsb_1bit,1,0.5001594289639515,0.04031038284301758,0
resnet50,ptq_8bit_perchannel,lsb_1bit,1,0.49955494211826623,0.039166927337646484,0
resnet50,ptq_4bit_pertensor,lsb_1bit,1,0.500107808809569,0.036695241928100586,0
resnet50,ptq_4bit_perchannel,lsb_1bit,1,0.4995859844955235,0.03869056701660156,0
resnet50,neuperm,lsb_1bit,1,0.4037638667665854,0.009757041931152344,0
resnet50,neuperm,lsb_1bit,1,0.40387171462316973,0.01023244857788086,1
resnet50,neuperm,lsb_1bit,1,0.4036945192672031,0.011629819869995117,2
resnet50,neuperm,lsb_1bit,1,0.4034710922449816,0.011296510696411133,3
resnet50,neuperm,lsb_1bit,1,0.40373840811253286,0.013268470764160156,4
resnet50,clean_extraction,lsb_2bit,2,0.0,0.0,-1
resnet50,ptq_8bit_pertensor,lsb_2bit,2,0.49994652511238513,0.0321805477142334,0
resnet50,ptq_8bit_perchannel,lsb_2bit,2,0.4995510374167244,0.055823326110839844,0
resnet50,ptq_4bit_pertensor,lsb_2bit,2,0.49995642353079356,0.04269742965698242,0
resnet50,ptq_4bit_perchannel,lsb_2bit,2,0.4995744851494829,0.04097151756286621,0
resnet50,neuperm,lsb_2bit,2,0.4037569944918718,0.013794660568237305,0
resnet50,neuperm,lsb_2bit,2,0.4036880374626437,0.015813350677490234,1
resnet50,neuperm,lsb_2bit,2,0.40355000626314125,0.015553712844848633,2
resnet50,neuperm,lsb_2bit,2,0.4035883894792971,0.016124248504638672,3
resnet50,neuperm,lsb_2bit,2,0.40367179390422986,0.01635456085205078,4
resnet50,clean_extraction,lsb_4bit,4,0.0,0.0,-1
resnet50,ptq_8bit_pertensor,lsb_4bit,4,0.49996670265760235,0.03358173370361328,0
resnet50,ptq_8bit_perchannel,lsb_4bit,4,0.4994135528754378,0.03947901725769043,0
resnet50,ptq_4bit_pertensor,lsb_4bit,4,0.5000280748040855,0.03415536880493164,0
resnet50,ptq_4bit_perchannel,lsb_4bit,4,0.4994953466109846,0.040828704833984375,0
resnet50,neuperm,lsb_4bit,4,0.4036346992395828,0.009636163711547852,0
resnet50,neuperm,lsb_4bit,4,0.4037802665130609,0.009016752243041992,1
resnet50,neuperm,lsb_4bit,4,0.4036700172650283,0.009289264678955078,2
resnet50,neuperm,lsb_4bit,4,0.4036409858090651,0.01047205924987793,3
resnet50,neuperm,lsb_4bit,4,0.40387546313664985,0.010088443756103516,4
resnet50,clean_extraction,lsb_8bit,8,0.0,0.0,-1
resnet50,ptq_8bit_pertensor,lsb_8bit,8,0.500002948049664,0.0416414737701416,0
resnet50,ptq_8bit_perchannel,lsb_8bit,8,0.49945645090275137,0.057288408279418945,0
resnet50,ptq_4bit_pertensor,lsb_8bit,8,0.4999757371607947,0.05396103858947754,0
resnet50,ptq_4bit_perchannel,lsb_8bit,8,0.4994548402133654,0.06743645668029785,0
resnet50,neuperm,lsb_8bit,8,0.4035754746789476,0.01127934455871582,0
resnet50,neuperm,lsb_8bit,8,0.4035457891854761,0.010623693466186523,1
resnet50,neuperm,lsb_8bit,8,0.4036919714494471,0.012632608413696289,2
resnet50,neuperm,lsb_8bit,8,0.40366048979326635,0.01138925552368164,3
resnet50,neuperm,lsb_8bit,8,0.40377833368579774,0.009065628051757812,4
