model_name,method,scheme,n_lsb_bits,ber,time,repeat_idx
vgg11,clean_extraction,lsb_1bit,1,0.0,0.0,-1
vgg11,ptq_8bit_pertensor,lsb_1bit,1,0.5000137208657774,0.4344828128814697,0
vgg11,ptq_8bit_perchannel,lsb_1bit,1,0.4999556612066402,0.4693160057067871,0
vgg11,ptq_4bit_pertensor,lsb_1bit,1,0.5000127649963568,0.3378324508666992,0
vgg11,ptq_4bit_perchannel,lsb_1bit,1,0.5000126897310482,0.39894914627075195,0
vgg11,neuperm,lsb_1bit,1,0.5000102812411695,0.08511042594909668,0
vgg11,neuperm,lsb_1bit,1,0.49997448506034803,0.07513570785522461,1
vgg11,neuperm,lsb_1bit,1,0.49998392333006,0.08718419075012207,2
vgg11,neuperm,lsb_1bit,1,0.4999103289112054,0.09360742568969727,3
vgg11,neuperm,lsb_1bit,1,0.49996019970475525,0.0842130184173584,4
vgg11,clean_extraction,lsb_2bit,2,0.0,0.0,-1
vgg11,ptq_8bit_pertensor,lsb_2bit,2,0.5000062282042956,0.32752370834350586,0
vgg11,ptq_8bit_perchannel,lsb_2bit,2,0.4999754221134414,0.35634303092956543,0
vgg11,ptq_4bit_pertensor,lsb_2bit,2,0.5000321834460035,0.32647156715393066,0
vgg11,ptq_4bit_perchannel,lsb_2bit,2,0.49995392634127445,0.37474560737609863,0
vgg11,neuperm,lsb_2bit,2,0.49984845330091665,0.08499264717102051,0
vgg11,neuperm,lsb_2bit,2,0.49996956270915854,0.08349990844726562,1
vgg11,neuperm,lsb_2bit,2,0.4998837978898859,0.07867145538330078,2
vgg11,neuperm,lsb_2bit,2,0.49990393888649615,0.07856106758117676,3
vgg11,neuperm,lsb_2bit,2,0.49980922502201813,0.08444786071777344,4
vgg11,clean_extraction,lsb_4bit,4,0.0,0.0,-1
vgg11,ptq_8bit_pertensor,lsb_4bit,4,0.4999742460929929,0.3844592571258545,0
vgg11,ptq_8bit_perchannel,lsb_4bit,4,0.4999416279898316,0.4106287956237793,0
vgg11,ptq_4bit_pertensor,lsb_4bit,4,0.4999941180161245,0.631495475769043,0
vgg11,ptq_4bit_perchannel,lsb_4bit,4,0.49998388757903833,0.49507927894592285,0
vgg11,neuperm,lsb_4bit,4,0.4999865199832104,0.1566181182861328,0
vgg11,neuperm,lsb_4bit,4,0.49938312552983016,0.14708280563354492,1
vgg11,neuperm,lsb_4bit,4,0.4997339973459646,0.14337611198425293,2
vgg11,neuperm,lsb_4bit,4,0.4998084798954619,0.08388543128967285,3
vgg11,neuperm,lsb_4bit,4,0.4997574725957506,0.07811617851257324,4
vgg11,clean_extraction,lsb_8bit,8,0.0,0.0,-1
vgg11,ptq_8bit_pertensor,lsb_8bit,8,0.5000047134899578,0.35329437255859375,0
vgg11,ptq_8bit_perchannel,lsb_8bit,8,0.4999496409227599,0.5498476028442383,0
vgg11,ptq_4bit_pertensor,lsb_8bit,8,0.49996677789273636,0.4267618656158447,0
vgg11,ptq_4bit_perchannel,lsb_8bit,8,0.4999378835407234,0.3675227165222168,0
vgg11,neuperm,lsb_8bit,8,0.4998550013827743,0.11362195014953613,0
vgg11,neuperm,lsb_8bit,8,0.49994404965113926,0.12330889701843262,1
vgg11,neuperm,lsb_8bit,8,0.4998963766046037,0.08544707298278809,2
vgg11,neuperm,lsb_8bit,8,0.4997529435057991,0.10152077674865723,3
vgg11,neuperm,lsb_8bit,8,0.5000168989434376,0.09767675399780273,4
