method,seed,kwargs,accuracy,time
original,0,{},74.5,7.083886384963989
neuperm,0,{},75.0,6.603410720825195
neuperm,1,{},74.0,6.496752738952637
neuperm,2,{},75.0,6.469458341598511
neuperm,3,{},75.0,6.501744747161865
neuperm,4,{},74.0,6.390859127044678
noise,0,{'eps': 0.0001},75.5,6.645035028457642
noise,1,{'eps': 0.0001},74.0,6.612006425857544
noise,2,{'eps': 0.0001},74.0,6.436518430709839
noise,3,{'eps': 0.0001},74.5,6.476028919219971
noise,4,{'eps': 0.0001},75.5,6.406747579574585
noise,0,{'eps': 0.001},77.0,6.481444597244263
noise,1,{'eps': 0.001},73.0,6.454853296279907
noise,2,{'eps': 0.001},74.5,6.54367995262146
noise,3,{'eps': 0.001},75.0,6.510109186172485
noise,4,{'eps': 0.001},74.5,6.5723254680633545
noise,0,{'eps': 0.01},0.5,11.992753028869629
noise,1,{'eps': 0.01},1.0,11.977704763412476
noise,2,{'eps': 0.01},0.0,12.580291986465454
noise,3,{'eps': 0.01},0.0,12.45457673072815
noise,4,{'eps': 0.01},1.5,12.252390384674072
noise,0,{'eps': 0.1},0.0,14.641445398330688
noise,1,{'eps': 0.1},0.5,12.263381004333496
noise,2,{'eps': 0.1},0.0,12.531746864318848
noise,3,{'eps': 0.1},0.0,12.025969505310059
noise,4,{'eps': 0.1},0.0,12.122838497161865
ptq,0,{'n_bits': 8},75.0,6.760357618331909
ptq,1,{'n_bits': 8},75.0,6.383416414260864
ptq,2,{'n_bits': 8},75.0,6.270653486251831
ptq,3,{'n_bits': 8},75.0,6.263744115829468
ptq,4,{'n_bits': 8},75.0,6.306049585342407
ptq,0,{'n_bits': 4},0.0,12.286126613616943
ptq,1,{'n_bits': 4},0.0,12.394870042800903
ptq,2,{'n_bits': 4},0.0,12.106419563293457
ptq,3,{'n_bits': 4},0.0,12.22351336479187
ptq,4,{'n_bits': 4},0.0,12.060301542282104
ptq,0,{'n_bits': 2},0.0,11.953616857528687
ptq,1,{'n_bits': 2},0.0,12.052915573120117
ptq,2,{'n_bits': 2},0.0,12.04449462890625
ptq,3,{'n_bits': 2},0.0,12.09533429145813
ptq,4,{'n_bits': 2},0.0,11.92323923110962
prune,0,{'ratio': 0.01},75.0,6.160538673400879
prune,1,{'ratio': 0.01},71.5,6.141686201095581
prune,2,{'ratio': 0.01},76.0,7.778115510940552
prune,3,{'ratio': 0.01},71.5,7.119474649429321
prune,4,{'ratio': 0.01},75.0,6.485639333724976
prune,0,{'ratio': 0.05},70.0,7.8862998485565186
prune,1,{'ratio': 0.05},70.0,9.444733142852783
prune,2,{'ratio': 0.05},47.5,11.772031784057617
prune,3,{'ratio': 0.05},71.5,8.323057651519775
prune,4,{'ratio': 0.05},69.0,9.057575702667236
