method,seed,kwargs,f1,time
original,0,{},92.12282608695654,12.942374229431152
neuperm,0,{},92.12282608695654,12.546871662139893
neuperm,1,{},92.12282608695654,12.591583490371704
neuperm,2,{},91.95615942028986,12.559753656387329
neuperm,3,{},91.95615942028986,12.428248167037964
neuperm,4,{},92.2894927536232,12.446810960769653
noise,0,{'eps': 0.0001},92.12282608695654,12.406853199005127
noise,1,{'eps': 0.0001},92.2894927536232,12.483081579208374
noise,2,{'eps': 0.0001},92.2894927536232,12.421499967575073
noise,3,{'eps': 0.0001},91.7894927536232,12.287764310836792
noise,4,{'eps': 0.0001},92.2894927536232,12.377564668655396
noise,0,{'eps': 0.001},90.84318181818183,12.562684297561646
noise,1,{'eps': 0.001},90.95615942028986,12.465433120727539
noise,2,{'eps': 0.001},90.8144927536232,12.587367057800293
noise,3,{'eps': 0.001},92.45615942028986,12.401484966278076
noise,4,{'eps': 0.001},91.7894927536232,12.565634727478027
noise,0,{'eps': 0.01},0.22549019607843138,89.58468651771545
noise,1,{'eps': 0.01},0.12614942528735631,89.69180679321289
noise,2,{'eps': 0.01},0.3833928870693576,90.2155511379242
noise,3,{'eps': 0.01},0.0,89.75680661201477
noise,4,{'eps': 0.01},0.29408369408369406,89.9098801612854
noise,0,{'eps': 0.1},0.0,89.63693284988403
noise,1,{'eps': 0.1},0.0,90.121835231781
noise,2,{'eps': 0.1},0.0,90.47289443016052
noise,3,{'eps': 0.1},0.0,90.15061402320862
noise,4,{'eps': 0.1},0.0,90.20791149139404
ptq,0,{'n_bits': 8},91.00377846790893,12.61159348487854
ptq,1,{'n_bits': 8},91.00377846790893,12.519298791885376
ptq,2,{'n_bits': 8},91.00377846790893,12.533491611480713
ptq,3,{'n_bits': 8},91.00377846790893,12.645674228668213
ptq,4,{'n_bits': 8},91.00377846790893,12.552096366882324
ptq,0,{'n_bits': 4},0.3798941798941799,90.6153724193573
ptq,1,{'n_bits': 4},0.3798941798941799,90.1416883468628
ptq,2,{'n_bits': 4},0.3798941798941799,90.04000091552734
ptq,3,{'n_bits': 4},0.3798941798941799,90.51390218734741
ptq,4,{'n_bits': 4},0.3798941798941799,90.36677861213684
ptq,0,{'n_bits': 2},0.0,90.07352757453918
ptq,1,{'n_bits': 2},0.0,90.30619502067566
ptq,2,{'n_bits': 2},0.0,92.25406289100647
ptq,3,{'n_bits': 2},0.0,89.54211473464966
ptq,4,{'n_bits': 2},0.0,89.20914816856384
prune,0,{'ratio': 0.01},90.93234989648036,12.963834762573242
prune,1,{'ratio': 0.01},90.91903820816864,12.777636289596558
prune,2,{'ratio': 0.01},84.11612735090995,14.11263632774353
prune,3,{'ratio': 0.01},88.87651515151516,12.253204345703125
prune,4,{'ratio': 0.01},89.39199134199134,12.92514181137085
prune,0,{'ratio': 0.05},35.13191238677489,55.26068997383118
prune,1,{'ratio': 0.05},50.575277202195366,21.866844415664673
prune,2,{'ratio': 0.05},39.36966692017327,47.92131853103638
prune,3,{'ratio': 0.05},64.072064972065,15.523303031921387
prune,4,{'ratio': 0.05},59.11140383770819,23.736029863357544
