method,seed,kwargs,ppl,time
original,0,{},9.158964157104492,32.32210636138916
neuperm,0,{},9.160301208496094,31.254926443099976
neuperm,1,{},9.159529685974121,31.345447540283203
neuperm,2,{},9.159117698669434,31.47324776649475
neuperm,3,{},9.159006118774414,31.49898362159729
neuperm,4,{},9.159053802490234,31.55836844444275
noise,0,{'eps': 0.0001},9.15929889678955,31.189753770828247
noise,1,{'eps': 0.0001},9.163769721984863,31.180927991867065
noise,2,{'eps': 0.0001},9.158123970031738,31.092983961105347
noise,3,{'eps': 0.0001},9.166634559631348,31.364776849746704
noise,4,{'eps': 0.0001},9.159095764160156,31.13045573234558
noise,0,{'eps': 0.001},9.373132705688477,31.11928391456604
noise,1,{'eps': 0.001},9.402244567871094,31.06732201576233
noise,2,{'eps': 0.001},9.361988067626953,31.09005618095398
noise,3,{'eps': 0.001},9.422436714172363,31.046005964279175
noise,4,{'eps': 0.001},9.360648155212402,31.117435216903687
noise,0,{'eps': 0.01},29818.806640625,31.132500886917114
noise,1,{'eps': 0.01},6884.16357421875,31.108213663101196
noise,2,{'eps': 0.01},11996.7744140625,31.126420497894287
noise,3,{'eps': 0.01},16217.4619140625,31.06366991996765
noise,4,{'eps': 0.01},7494.9638671875,31.026519298553467
noise,0,{'eps': 0.1},2.2784085687054153e+27,31.346739292144775
noise,1,{'eps': 0.1},1.8021013880841698e+27,31.357832670211792
noise,2,{'eps': 0.1},2.471048359789022e+27,31.45866298675537
noise,3,{'eps': 0.1},2.4154001407288386e+27,31.459110975265503
noise,4,{'eps': 0.1},2.2899101874223495e+27,31.392619848251343
ptq,0,{'n_bits': 8},9.202049255371094,31.20132851600647
ptq,1,{'n_bits': 8},9.202049255371094,31.32582950592041
ptq,2,{'n_bits': 8},9.202049255371094,31.413849353790283
ptq,3,{'n_bits': 8},9.202049255371094,31.456398725509644
ptq,4,{'n_bits': 8},9.202049255371094,31.449053525924683
ptq,0,{'n_bits': 4},493180.8125,31.370136737823486
ptq,1,{'n_bits': 4},493180.8125,31.22588300704956
ptq,2,{'n_bits': 4},493180.8125,31.249119520187378
ptq,3,{'n_bits': 4},493180.8125,31.29765748977661
ptq,4,{'n_bits': 4},493180.8125,31.43625807762146
ptq,0,{'n_bits': 2},189444.1875,29.79349446296692
ptq,1,{'n_bits': 2},189444.1875,29.814763069152832
ptq,2,{'n_bits': 2},189444.1875,29.852802753448486
ptq,3,{'n_bits': 2},189444.1875,29.798207998275757
ptq,4,{'n_bits': 2},189444.1875,29.829962968826294
prune,0,{'ratio': 0.01},10.821925163269043,31.437557220458984
prune,1,{'ratio': 0.01},10.135002136230469,31.34968328475952
prune,2,{'ratio': 0.01},10.416372299194336,31.33087730407715
prune,3,{'ratio': 0.01},10.924386978149414,31.316166162490845
prune,4,{'ratio': 0.01},10.20324420928955,31.315242290496826
prune,0,{'ratio': 0.05},22.2575626373291,31.345242023468018
prune,1,{'ratio': 0.05},21.92099380493164,31.282307147979736
prune,2,{'ratio': 0.05},24.134891510009766,31.28393292427063
prune,3,{'ratio': 0.05},26.474201202392578,31.297446489334106
prune,4,{'ratio': 0.05},21.96792984008789,31.35529375076294
