model_name,accuracy,time,dataset,method,method_kwargs
resnet101,0.8189,0.7888000011444092,imagenet12,noise,{'eps': 0.0001}
resnet101,0.80354,0.7635321617126465,imagenet12,noise,{'eps': 0.001}
resnet101,0.00334,0.8750288486480713,imagenet12,noise,{'eps': 0.01}
resnet101,0.001,0.7774739265441895,imagenet12,noise,{'eps': 0.1}
resnet101,0.81912,0.7671172618865967,imagenet12,noise,{'eps': 0.0001}
resnet101,0.8146,0.7730739116668701,imagenet12,noise,{'eps': 0.001}
resnet101,0.00156,0.777235746383667,imagenet12,noise,{'eps': 0.01}
resnet101,0.001,0.7896173000335693,imagenet12,noise,{'eps': 0.1}
resnet101,0.81892,0.7754881381988525,imagenet12,noise,{'eps': 0.0001}
resnet101,0.81334,0.8843615055084229,imagenet12,noise,{'eps': 0.001}
resnet101,0.001,0.7771027088165283,imagenet12,noise,{'eps': 0.01}
resnet101,0.001,0.7901265621185303,imagenet12,noise,{'eps': 0.1}
resnet101,0.81886,0.7670867443084717,imagenet12,noise,{'eps': 0.0001}
resnet101,0.68818,0.7703454494476318,imagenet12,noise,{'eps': 0.001}
resnet101,0.00388,0.7636826038360596,imagenet12,noise,{'eps': 0.01}
resnet101,0.001,0.7723367214202881,imagenet12,noise,{'eps': 0.1}
resnet101,0.8191,0.8848154544830322,imagenet12,noise,{'eps': 0.0001}
resnet101,0.80956,0.7706446647644043,imagenet12,noise,{'eps': 0.001}
resnet101,0.00154,0.774707555770874,imagenet12,noise,{'eps': 0.01}
resnet101,0.001,0.7664055824279785,imagenet12,noise,{'eps': 0.1}
resnet101,0.81876,0.7725532054901123,imagenet12,noise,{'eps': 0.0001}
resnet101,0.8019,0.7649130821228027,imagenet12,noise,{'eps': 0.001}
resnet101,0.001,0.7812678813934326,imagenet12,noise,{'eps': 0.01}
resnet101,0.001,0.7933435440063477,imagenet12,noise,{'eps': 0.1}
resnet101,0.81874,0.7679181098937988,imagenet12,noise,{'eps': 0.0001}
resnet101,0.79384,0.7690045833587646,imagenet12,noise,{'eps': 0.001}
resnet101,0.01164,0.7910122871398926,imagenet12,noise,{'eps': 0.01}
resnet101,0.001,0.7832260131835938,imagenet12,noise,{'eps': 0.1}
