model_name,accuracy,time,dataset,method,method_kwargs,cond_id,repeat,seed,deterministic,n_correct,n_total,eval_seconds,batch_size,device,limit_batches,torch_version,git_commit,timestamp
densenet121,0.74438,1.1920928955078125e-06,imagenet12,original,{},original,0,1668311071,True,37219,50000,52.72164797782898,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T15:58:47
densenet121,0.74434,0.02816605567932129,imagenet12,neuperm,{},neuperm,0,1159035215,False,37217,50000,52.242281436920166,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T15:59:39
densenet121,0.74434,0.050180912017822266,imagenet12,neuperm,{},neuperm,1,1505379927,False,37217,50000,51.856396198272705,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:00:31
densenet121,0.74436,0.05621910095214844,imagenet12,neuperm,{},neuperm,2,710379668,False,37218,50000,52.56426548957825,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:01:24
densenet121,0.74428,0.050673723220825195,imagenet12,neuperm,{},neuperm,3,1530153544,False,37214,50000,51.7911958694458,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:02:16
densenet121,0.74436,0.032507896423339844,imagenet12,neuperm,{},neuperm,4,1072396354,False,37218,50000,52.627583265304565,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:03:09
densenet121,0.74412,0.36292099952697754,imagenet12,noise,{'eps': 0.0001},noise_eps_1e-04,0,1033326979,False,37206,50000,52.59789276123047,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:04:02
densenet121,0.74422,0.44243836402893066,imagenet12,noise,{'eps': 0.0001},noise_eps_1e-04,1,1134315557,False,37211,50000,52.67364263534546,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:04:55
densenet121,0.74372,0.41599082946777344,imagenet12,noise,{'eps': 0.0001},noise_eps_1e-04,2,600593093,False,37186,50000,52.71779203414917,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:05:49
densenet121,0.74408,0.3573777675628662,imagenet12,noise,{'eps': 0.0001},noise_eps_1e-04,3,1522794050,False,37204,50000,52.426255226135254,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:06:42
densenet121,0.74412,0.3560984134674072,imagenet12,noise,{'eps': 0.0001},noise_eps_1e-04,4,1347402434,False,37206,50000,51.741328716278076,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:07:34
densenet121,0.74142,0.34371352195739746,imagenet12,noise,{'eps': 0.001},noise_eps_1e-03,0,2046996220,False,37071,50000,53.30580425262451,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:08:28
densenet121,0.74054,0.36124706268310547,imagenet12,noise,{'eps': 0.001},noise_eps_1e-03,1,1302236619,False,37027,50000,52.430233001708984,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:09:21
densenet121,0.7414,0.36368656158447266,imagenet12,noise,{'eps': 0.001},noise_eps_1e-03,2,224559115,False,37070,50000,52.32690095901489,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:10:14
densenet121,0.74288,0.3573935031890869,imagenet12,noise,{'eps': 0.001},noise_eps_1e-03,3,1432908175,False,37144,50000,52.95065498352051,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:11:07
densenet121,0.74108,0.36281728744506836,imagenet12,noise,{'eps': 0.001},noise_eps_1e-03,4,615704475,False,37054,50000,52.216078996658325,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:12:00
densenet121,0.04976,0.3574082851409912,imagenet12,noise,{'eps': 0.01},noise_eps_1e-02,0,2019531957,False,2488,50000,52.78488779067993,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:12:53
densenet121,0.07268,0.3962669372558594,imagenet12,noise,{'eps': 0.01},noise_eps_1e-02,1,1557105050,False,3634,50000,52.552539348602295,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:13:46
densenet121,0.16598,0.4149284362792969,imagenet12,noise,{'eps': 0.01},noise_eps_1e-02,2,434110628,False,8299,50000,52.68527007102966,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:14:40
densenet121,0.08346,0.37941670417785645,imagenet12,noise,{'eps': 0.01},noise_eps_1e-02,3,1564681137,False,4173,50000,51.93865513801575,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:15:32
densenet121,0.07564,0.3783903121948242,imagenet12,noise,{'eps': 0.01},noise_eps_1e-02,4,1018207990,False,3782,50000,52.39664673805237,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:16:25
densenet121,0.001,0.41472339630126953,imagenet12,noise,{'eps': 0.1},noise_eps_1e-01,0,1230149722,False,50,50000,52.75986194610596,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:17:18
densenet121,0.001,0.3600478172302246,imagenet12,noise,{'eps': 0.1},noise_eps_1e-01,1,2076594841,False,50,50000,52.54754662513733,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:18:12
densenet121,0.001,0.28623294830322266,imagenet12,noise,{'eps': 0.1},noise_eps_1e-01,2,158044807,False,50,50000,52.65847897529602,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:19:05
densenet121,0.001,0.3611910343170166,imagenet12,noise,{'eps': 0.1},noise_eps_1e-01,3,846618742,False,50,50000,51.71901607513428,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:19:57
densenet121,0.001,0.36382055282592773,imagenet12,noise,{'eps': 0.1},noise_eps_1e-01,4,1773681863,False,50,50000,52.53037643432617,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:20:50
densenet121,0.70482,0.29715871810913086,imagenet12,prune,{'amount': 0.01},prune_amount_0.01,0,2118515275,False,35241,50000,52.13652014732361,64,cuda,,2.1.0,8ddd8a139420e70b6a285550ed4a947e268b829e,2026-08-20T16:21:42
